Ai_Data:400,1,1,3,-1,N,V3,B
No,x,y,z,isInsideR.5
1,0.2823,0.7123,0.5737,1
2,0.1157,0.6343,0.6976,0
3,0.7407,0.7135,0.247,0
4,0.9159,0.7966,0.7694,0
5,0.1687,0.5393,0.005,0
6,0.3613,0.3415,0.7897,0
7,0.7874,0.9084,0.1681,0
8,0.964,0.7879,0.1797,0
9,0.9915,0.0148,0.7148,0
10,0.1938,0.0308,0.4218,0
11,0.6345,0.3695,0.5733,1
12,0.3371,0.6349,0.537,1
13,0.4676,0.2394,0.0351,0
14,0.6692,0.2161,0.5814,1
15,0.5596,0.4412,0.2115,1
16,0.1647,0.15,0.979,0
17,0.9178,0.227,0.3375,0
18,0.4058,0.0386,0.4747,0
19,0.3459,0.0455,0.9726,0
20,0.5471,0.3476,0.3931,1
21,0.1021,0.6451,0.5462,0
22,0.2103,0.7108,0.3094,0
23,0.0046,0.3575,0.5791,0
24,0.5827,0.393,0.22,1
25,0.5522,0.0398,0.0774,0
26,0.8379,0.6295,0.4206,0
27,0.2212,0.1,0.3708,0
28,0.8491,0.8204,0.6109,0
29,0.6672,0.8753,0.8463,0
30,0.0894,0.1729,0.8211,0
31,0.9162,0.4089,0.9446,0
32,0.1671,0.1637,0.6392,0
33,0.087,0.9639,0.232,0
34,0.6982,0.4485,0.5018,1
35,0.5606,0.4732,0.6668,1
36,0.7238,0.3877,0.5217,1
37,0.1094,0.1162,0.1409,0
38,0.7105,0.5064,0.0612,0
39,0.1367,0.4026,0.3231,0
40,0.8854,0.7623,0.0514,0
41,0.1679,0.0895,0.5596,0
42,0.3115,0.7844,0.4926,1
43,0.8857,0.0254,0.4218,0
44,0.2762,0.0695,0.6956,0
45,0.6338,0.1616,0.2376,0
46,0.3017,0.7995,0.2063,0
47,0.231,0.5707,0.9163,0
48,0.9517,0.2844,0.0622,0
49,0.4588,0.909,0.3905,0
50,0.6751,0.3531,0.6152,1
51,0.5198,0.4372,0.3615,1
52,0.7458,0.1199,0.6866,0
53,0.4254,0.0171,0.5641,0
54,0.0033,0.7636,0.8623,0
55,0.4725,0.502,0.7711,1
56,0.1178,0.0767,0.344,0
57,0.0181,0.2012,0.051,0
58,0.5786,0.8933,0.5178,0
59,0.4803,0.6727,0.6903,1
60,0.0789,0.8886,0.3385,0
61,0.1825,0.5655,0.4982,1
62,0.5183,0.9853,0.3241,0
63,0.1425,0.6358,0.25,0
64,0.0264,0.5041,0.4734,0
65,0.4886,0.979,0.5996,0
66,0.2852,0.5747,0.3164,1
67,0.6838,0.0044,0.2184,0
68,0.5628,0.9945,0.6545,0
69,0.4618,0.2959,0.0101,0
70,0.325,0.9912,0.8979,0
71,0.1413,0.3186,0.3146,0
72,0.6278,0.0299,0.3316,0
73,0.0994,0.499,0.8758,0
74,0.776,0.2185,0.6974,0
75,0.4637,0.6014,0.3014,1
76,0.5236,0.8124,0.2287,0
77,0.8369,0.0942,0.6177,0
78,0.4525,0.1245,0.286,0
79,0.9117,0.4234,0.621,0
80,0.6578,0.6086,0.0678,0
81,0.4802,0.3338,0.8617,0
82,0.5565,0.3308,0.0843,0
83,0.4004,0.6798,0.5917,1
84,0.0858,0.2713,0.24,0
85,0.8692,0.0971,0.6543,0
86,0.8189,0.2344,0.034,0
87,0.6758,0.5315,0.4282,1
88,0.1787,0.3907,0.624,0
89,0.2884,0.5066,0.3555,1
90,0.0258,0.9486,0.8661,0
91,0.4637,0.2155,0.6038,1
92,0.9947,0.9664,0.0092,0
93,0.8907,0.6076,0.8484,0
94,0.131,0.1786,0.0405,0
95,0.9837,0.676,0.3187,0
96,0.1835,0.7404,0.823,0
97,0.6486,0.6889,0.9578,0
98,0.4084,0.2973,0.6879,1
99,0.4679,0.2197,0.0905,0
100,0.5008,0.5821,0.1178,0
101,0.6001,0.074,0.2163,0
102,0.3481,0.1369,0.1296,0
103,0.5746,0.6492,0.7319,1
104,0.2611,0.5656,0.0192,0
105,0.4042,0.4597,0.3707,1
106,0.2481,0.2619,0.8052,0
107,0.8394,0.5765,0.2326,0
108,0.3075,0.6293,0.0898,0
109,0.4707,0.1305,0.2675,0
110,0.7064,0.739,0.6854,0
111,0.551,0.8711,0.3093,0
112,0.3254,0.9606,0.311,0
113,0.1823,0.628,0.0093,0
114,0.4647,0.6701,0.4989,1
115,0.6969,0.4438,0.641,1
116,0.5804,0.4934,0.6358,1
117,0.9714,0.7012,0.522,0
