Ai_Data:400,1,1,3,1,N,B,V3
No,isInSideR.5,x,y,z
1,0,0.3368,0.7888,0.1351
2,0,0.1104,0.5142,0.9638
3,0,0.5877,0.9401,0.8896
4,0,0.9439,0.8423,0.1771
5,0,0.8677,0.6572,0.8143
6,1,0.5248,0.3435,0.2218
7,0,0.0608,0.3506,0.8181
8,0,0.2128,0.5527,0.737
9,1,0.5902,0.3053,0.3276
10,0,0.9313,0.9437,0.9028
11,0,0.0692,0.4302,0.5055
12,0,0.6105,0.9097,0.1811
13,0,0.1927,0.662,0.0037
14,1,0.6374,0.424,0.6604
15,1,0.6688,0.6496,0.5142
16,0,0.2414,0.1408,0.4283
17,1,0.4264,0.5196,0.2397
18,0,0.0626,0.3014,0.4253
19,1,0.494,0.329,0.4386
20,1,0.2931,0.5199,0.7737
21,1,0.6475,0.3106,0.702
22,0,0.3049,0.1443,0.6866
23,1,0.4728,0.7773,0.414
24,1,0.6486,0.7378,0.305
25,0,0.7095,0.6292,0.2427
26,0,0.2854,0.1117,0.2492
27,0,0.9303,0.3701,0.3195
28,0,0.9594,0.5828,0.866
29,1,0.5941,0.4477,0.298
30,0,0.3019,0.5285,0.173
31,0,0.5949,0.1442,0.5631
32,0,0.6342,0.1958,0.8961
33,0,0.4217,0.2337,0.7827
34,0,0.0659,0.8872,0.8454
35,1,0.2737,0.7368,0.5902
36,1,0.4459,0.4169,0.7243
37,1,0.7328,0.4188,0.7485
38,0,0.5544,0.9178,0.3907
39,0,0.2125,0.748,0.5072
40,0,0.7095,0.9876,0.1449
41,0,0.1805,0.9233,0.3196
42,0,0.2526,0.6147,0.8695
43,0,0.4056,0.8532,0.4591
44,1,0.2342,0.6261,0.3544
45,0,0.0249,0.6897,0.6734
46,0,0.6172,0.3633,0.9719
47,1,0.3723,0.2462,0.6531
48,1,0.504,0.2394,0.5756
49,0,0.0692,0.4286,0.0793
50,0,0.8363,0.5547,0.1559
51,0,0.1636,0.2377,0.1685
52,0,0.7879,0.7892,0.9495
53,0,0.9298,0.0282,0.2643
54,1,0.2162,0.3311,0.4359
55,0,0.6174,0.0909,0.9426
56,0,0.1346,0.5768,0.5213
57,1,0.7792,0.3339,0.6181
58,0,0.772,0.3517,0.2742
59,0,0.125,0.4191,0.5749
60,0,0.4538,0.9621,0.3994
61,0,0.9537,0.2477,0.0052
62,0,0.8508,0.7194,0.2766
63,0,0.4268,0.7259,0.8387
64,0,0.1374,0.7831,0.4154
65,0,0.0654,0.3525,0.1995
66,0,0.8642,0.4592,0.6487
67,0,0.2021,0.9147,0.0414
68,0,0.9243,0.9916,0.8631
69,1,0.5105,0.5144,0.2054
70,1,0.4606,0.1892,0.6128
71,0,0.4674,0.8464,0.6245
72,0,0.9613,0.2696,0.145
73,0,0.5133,0.1646,0.9839
74,0,0.7134,0.8749,0.24
75,0,0.0511,0.2721,0.6428
76,1,0.2631,0.6432,0.4035
77,0,0.0964,0.2162,0.3456
