Ai_Data:200,1,1,2,-1,N,V2,B
No,x,y,isInsideR.4
1,0.1042,0.2282,1
2,0.072,0.1958,1
3,0.1318,0.0353,1
4,0.2861,0.0436,1
5,0.4045,0.014,0
6,0.6855,0.8718,0
7,0.7135,0.2769,1
8,0.7957,0.1504,0
9,0.7013,0.1354,1
10,0.6926,0.2131,1
11,0.4099,0.1581,1
12,0.086,0.2475,1
13,0.096,0.1383,1
14,0.0291,0.0809,1
15,0.0087,0.6135,0
16,0.9302,0.068,0
17,0.3926,0.629,1
18,0.0175,0.5189,0
19,0.0253,0.0823,0
20,0.0029,0.0053,0
21,0.0012,0.0501,0
22,0.2172,0.2023,1
23,0.8444,0.4929,0
24,0.2246,0.0439,1
25,0.2499,0.1688,1
26,0.2542,0.0172,1
27,0.4296,0.155,1
28,0.6462,0.1228,1
29,0.0979,0.0851,1
30,0.1206,0.1083,1
31,0.2417,0.241,1
32,0.0669,0.1686,1
33,0.0678,0.7138,0
34,0.0127,0.5668,0
35,0.3509,0.7983,0
36,0.5146,0.4746,1
37,0.1275,0.5654,1
38,0.06,0.658,0
39,0.8603,0.008,0
40,0.6635,0.1063,1
41,0.0199,0.7603,0
42,0.7905,0.2267,1
43,0.358,0.6196,1
44,0.0091,0.0058,0
45,0.2816,0.2795,1
46,0.106,0.2132,1
47,0.5275,0.1273,1
48,0.0537,0.1537,1
49,0.0597,0.372,1
50,0.2199,0.5086,1
51,0.8173,0.0078,0
52,0.0912,0.6702,1
53,0.6135,0.2306,1
54,0.1833,0.0443,1
55,0.0437,0.0663,1
56,0.0176,0.4977,0
57,0.9543,0.4967,0
58,0.0168,0.007,0
59,0.609,0.0001,0
60,0.4934,0.0511,1
61,0.008,0.3447,0
62,0,0.0015,0
63,0.9141,0.0026,0
64,0.3716,0.5072,1
65,0.2396,0.2687,1
66,0.5279,0.0105,0
67,0.952,0.0238,0
68,0.3607,0.0907,1
69,0.7824,0.0194,0
70,0.002,0.4473,0
71,0.0592,0.2283,1
72,0.0263,0.7993,0
73,0.0128,0.0997,0
74,0.401,0.7547,1
75,0.0236,0.4862,1
76,0.031,0.1825,1
77,0.2549,0.8545,0
78,0.0015,0.0609,0
79,0.2311,0.8974,0
80,0.4028,0.2084,1
81,0.6363,0.2054,1
82,0.4575,0.5636,1
83,0.1088,0.3346,1
84,0.1779,0.0029,0
85,0.3876,0.1711,1
86,0.7915,0.0012,0
87,0.4223,0.5261,1
88,0.0235,0.0003,0
89,0.2998,0.3191,1
90,0.0055,0.0057,0
91,0.0964,0.4724,1
92,0.0068,0.1494,0
93,0.4688,0.9046,0
94,0.7452,0.0094,0
95,0.5485,0.0149,0
96,0.0042,0.0832,0
97,0.7413,0.564,0
98,0.1405,0.6642,1
99,0.0167,0.0026,0
100,0.3478,0.0052,0
101,0.1225,0.8836,0
102,0.2738,0.9724,0
103,0.0359,0.46,1
104,0.7597,0.5997,0
105,0.0279,0.5851,0
106,0.1536,0.0756,1
107,0.2348,0.0005,0
108,0,0.7894,0
109,0.8586,0.001,0
110,0.4472,0.1863,1
111,0.1002,0.1258,1
112,0.0298,0.2019,1
113,0.0689,0.0404,1
114,0.0207,0.6104,0
115,0.0315,0.2155,1
116,0.8913,0.1847,0
117,0.6556,0.0952,1
118,0.0737,0.0008,0
119,0.5827,0.5151,1
120,0.3576,0.2019,1
121,0.5624,0.4648,1
122,0.6257,0.1351,1
123,0.302,0.8917,0
124,0.2872,0.6333,1
125,0.8442,0.2308,0
126,0.1714,0.8456,0
127,0.8652,0.0164,0
128,0.5591,0.5764,1
129,0.226,0.0021,0
130,0.327,0.2146,1
131,0.8447,0.8366,0
132,0.1157,0.0775,1
133,0.0183,0.0039,0
134,0.0512,0.2427,1
135,0.1709,0.8615,0
136,0.0167,0.8097,0
137,0.9317,0.2859,0
138,0.5509,0.3374,1
139,0.0004,0.8161,0
140,0.0865,0.0024,0
141,0.548,0.3245,1
142,0.6785,0.0034,0
143,0.1968,0.3951,1
144,0.0089,0.3791,0
145,0.7467,0.9624,0
146,0.2618,0,0
147,0.1924,0.4919,1
148,0.4211,0.7187,1
149,0.7248,0.4888,0
150,0.0599,0.2946,1
151,0.1038,0.0094,0
152,0.6049,0.3165,1
153,0.1386,0.9916,0
154,0.9637,0.2217,0
155,0.0026,0.3019,0
156,0.8217,0.446,0
157,0.7408,0.2721,1
158,0.1504,0.0301,1
159,0.7392,0.5547,0
160,0.0011,0.9897,0
161,0.4669,0.0242,1
162,0.0068,0.7581,0
163,0.213,0.1067,1
164,0.5732,0.1988,1
165,0.7613,0.445,0
166,0.902,0.0281,0
167,0.6607,0.511,1
168,0.1381,0.2051,1
169,0.1774,0.0363,1
170,0.2614,0.8498,0
171,0.1925,0.5424,1
172,0.0003,0.5601,0
173,0.0197,0.2626,1
174,0.1312,0.1755,1
175,0.1037,0.0048,0
176,0.8086,0.2031,0
177,0.0061,0.0294,0
178,0.4475,0.7471,0
179,0.1254,0.2459,1
180,0.3212,0.2107,1
181,0.2544,0.1365,1
182,0.5328,0.0343,1
183,0.1218,0.9515,0
184,0.0647,0.0268,0
185,0.2049,0.4863,1
186,0.3581,0.0213,1
187,0.3833,0.2719,1
188,0.0821,0.2175,1
189,0.6886,0.4509,1
190,0.5899,0.6026,1
191,0.0131,0.8036,0
192,0.2965,0.0133,1
193,0.0073,0.007,0
194,0.8488,0.0122,0
195,0.0151,0.0139,0
196,0.9915,0.1234,0
197,0.1965,0.0262,1
198,0.5469,0.0581,1
199,0.2862,0.6016,1
200,0.0813,0.7501,0
