Ai_Data:200,1,1,2,1,N,B,V2
No,isInSideR.4,x,y
1,1,0.2517,0.3813
2,0,0.909,0.3441
3,0,0.3859,0.7974
4,0,0.5863,0.0027
5,0,0.0141,0.9236
6,0,0.4816,0.0044
7,1,0.0456,0.1437
8,1,0.3345,0.7163
9,1,0.6949,0.5165
10,1,0.4821,0.3643
11,0,0.9052,0.0353
12,0,0.3012,0.9226
13,0,0.7541,0.968
14,1,0.1116,0.4313
15,0,0.8609,0.6398
16,0,0.0217,0.0076
17,1,0.1554,0.0245
18,1,0.1137,0.2212
19,1,0.2313,0.2317
20,1,0.3432,0.4799
21,0,0.5823,0.0111
22,1,0.3407,0.0164
23,1,0.2089,0.3634
24,0,0.169,0.9523
25,0,0.0922,0.0201
26,0,0.9631,0.8428
27,0,0.0014,0.5933
28,0,0.0249,0.0195
29,1,0.459,0.6528
30,0,0.1618,0.0001
31,0,0.0157,0.5895
32,0,0.0043,0.9514
33,1,0.6404,0.2263
34,1,0.4628,0.2009
35,1,0.0902,0.0987
36,0,0.7389,0.5762
37,1,0.1044,0.5757
38,1,0.4514,0.2015
39,1,0.1078,0.3979
40,1,0.3476,0.2119
41,1,0.4599,0.5442
42,0,0.1436,0.0004
43,0,0.0577,0.677
44,1,0.2882,0.0696
45,0,0.4704,0.9936
46,0,0.0182,0.7913
47,0,0.9406,0.0052
48,1,0.0324,0.163
49,1,0.5252,0.2242
50,0,0.7252,0.548
51,1,0.3077,0.4144
52,1,0.0501,0.0956
53,1,0.215,0.0146
54,1,0.1098,0.5902
55,0,0.8108,0.4949
56,0,0.4787,0.0042
57,1,0.0248,0.1457
58,1,0.4083,0.2975
59,0,0.0113,0.9016
60,0,0.0065,0.0325
61,1,0.2538,0.2269
62,1,0.2887,0.039
63,0,0.1256,0.0031
64,1,0.3307,0.4573
65,0,0.004,0.2519
66,0,0.9719,0.8005
67,0,0.1299,0.8566
68,1,0.1092,0.2299
69,1,0.0578,0.1184
70,1,0.4913,0.4277
71,1,0.15,0.5846
72,0,0.6586,0.0175
73,1,0.6928,0.1617
74,1,0.6065,0.2068
75,0,0.6756,0.9165
76,0,0.0394,0.6627
77,0,0.0175,0.0159
78,1,0.1452,0.4439
79,1,0.0982,0.5812
80,1,0.7274,0.4561
81,1,0.361,0.134
82,1,0.2335,0.6207
83,1,0.2246,0.6693
84,1,0.7183,0.2341
85,0,0.0099,0.2857
86,1,0.4686,0.2519
87,1,0.0205,0.2125
88,1,0.3113,0.3413
89,1,0.4677,0.3373
90,0,0.0066,0.0015
91,0,0.0458,0.7334
92,1,0.1003,0.0284
93,0,0.9261,0.6058
94,0,0.0413,0.7321
95,0,0.0005,0.8871
96,0,0.017,0.7416
97,0,0.0002,0.1051
98,0,0.0001,0.3896
99,1,0.0857,0.0336
100,1,0.2102,0.3781
101,0,0.7701,0.5642
102,0,0.9065,0.2874
103,1,0.4398,0.0204
104,0,0.0031,0.8461
105,1,0.3412,0.0232
106,0,0.0092,0.8406
107,0,0.5629,0.7395
108,0,0.7682,0.1056
109,1,0.6029,0.0478
110,1,0.0938,0.0237
111,0,0.6295,0.0021
112,0,0.0016,0.0741
113,0,0.7625,0.0076
114,0,0.2468,0.8767
115,0,0.7305,0.0073
