Ai_Data:100,1,1,2,-1,N,V2,B
No,x,y,isInsideR.4
1,0.2627,0.2207,1
2,0.1709,0.9932,0
3,0.0536,0.3209,0
4,0.8326,0.2675,0
5,0.0709,0.7125,0
6,0.7023,0.1037,0
7,0.3343,0.6608,1
8,0.6907,0.7242,1
9,0.0504,0.4168,0
10,0.89,0.5278,1
11,0.6535,0.1078,0
12,0.4663,0.7404,1
13,0.9998,0.3955,0
14,0.3855,0.2315,1
15,0.386,0.2593,1
16,0.7692,0.4802,1
17,0.3163,0.5154,1
18,0.9265,0.9245,0
19,0.1873,0.9304,0
20,0.3608,0.1789,1
21,0.3139,0.0395,0
22,0.2958,0.8549,0
23,0.9686,0.0273,0
24,0.5196,0.9684,0
25,0.3543,0.2821,1
26,0.593,0.1673,1
27,0.6842,0.4824,1
28,0.7186,0.2665,1
29,0.7901,0.3247,1
30,0.8183,0.8217,0
31,0.9304,0.2526,0
32,0.6155,0.728,1
33,0.7208,0.796,1
34,0.7692,0.0771,0
35,0.3582,0.38,1
36,0.356,0.758,1
37,0.5613,0.7134,1
38,0.2492,0.5353,1
39,0.8978,0.1147,0
40,0.1884,0.5886,1
41,0.4224,0.3872,1
42,0.5898,0.7492,1
43,0.7954,0.1002,0
44,0.3916,0.917,0
45,0.3046,0.3877,1
46,0.4836,0.3922,1
47,0.4631,0.622,1
48,0.5153,0.1071,1
49,0.1035,0.5742,0
50,0.1318,0.9909,0
51,0.1411,0.9176,0
52,0.9329,0.9532,0
53,0.4285,0.187,1
54,0.7025,0.2198,1
55,0.3721,0.5498,1
56,0.7063,0.0057,0
57,0.2336,0.0015,0
58,0.1023,0.7588,0
59,0.2882,0.8422,0
60,0.7641,0.4602,1
61,0.2605,0.5453,1
62,0.0606,0.7134,0
63,0.7111,0.3772,1
64,0.3918,0.6087,1
65,0.2949,0.3772,1
66,0.5256,0.5966,1
67,0.0637,0.5568,0
68,0.034,0.853,0
69,0.2344,0.429,1
70,0.3738,0.8741,1
71,0.095,0.2251,0
72,0.4104,0.281,1
73,0.9698,0.4101,0
74,0.4309,0.072,0
75,0.4169,0.3546,1
76,0.9429,0.8053,0
77,0.0781,0.274,0
78,0.8064,0.4462,1
79,0.8543,0.7935,0
80,0.4962,0.8646,1
81,0.3285,0.7478,1
82,0.5398,0.2152,1
83,0.6067,0.0767,0
84,0.4304,0.687,1
85,0.0008,0.9237,0
86,0.5593,0.3546,1
87,0.2231,0.2987,1
88,0.9662,0.1166,0
89,0.0162,0.9136,0
90,0.9537,0.9552,0
91,0.389,0.0494,0
92,0.8628,0.0019,0
93,0.8808,0.5659,1
94,0.5565,0.1424,1
95,0.5261,0.4116,1
96,0.408,0.1469,1
97,0.441,0.2445,1
98,0.8417,0.5585,1
99,0.2042,0.0221,0
100,0.7209,0.825,1
