Ai_Data:100,1,1,2,1,N,B,V2
No,isInSideR.4,x,y
1,0,0.0638,0.1492
2,1,0.5153,0.1612
3,0,0.3103,0.1125
4,0,0.9576,0.3608
5,1,0.5388,0.8683
6,0,0.1042,0.4286
7,0,0.0486,0.7464
8,1,0.5169,0.4938
9,0,0.8306,0.178
10,1,0.4888,0.4534
11,1,0.282,0.4586
12,1,0.7943,0.4134
13,0,0.8483,0.1446
14,0,0.6093,0.9741
15,1,0.8887,0.5677
16,0,0.0212,0.4702
17,1,0.3118,0.2017
18,1,0.8023,0.5233
19,0,0.7793,0.8672
20,1,0.3674,0.5187
21,0,0.5232,0.0066
22,0,0.0878,0.863
23,0,0.0748,0.5149
24,1,0.3843,0.1344
25,1,0.4511,0.8611
26,1,0.2689,0.483
27,1,0.5967,0.4832
28,0,0.2607,0.8925
29,0,0.1268,0.6931
30,0,0.8437,0.161
31,1,0.6696,0.5734
32,0,0.8916,0.7105
33,1,0.3534,0.6025
34,1,0.73,0.586
35,0,0.2368,0.9915
36,1,0.7583,0.2516
37,0,0.7274,0.9675
38,0,0.8026,0.0439
39,1,0.2876,0.4871
40,1,0.6225,0.3924
41,0,0.9724,0.1155
42,0,0.2427,0.1653
43,0,0.5978,0.0545
44,0,0.0318,0.7513
45,1,0.5857,0.5549
46,1,0.7001,0.7358
47,0,0.7824,0.1963
48,1,0.638,0.2811
49,0,0.7975,0.7703
50,1,0.2676,0.57
51,1,0.6607,0.7497
52,0,0.3281,0.9227
53,1,0.8422,0.5799
54,1,0.2685,0.4459
55,0,0.9344,0.2751
56,1,0.1677,0.3224
57,0,0.5422,0.0554
58,0,0.8558,0.1037
59,0,0.1773,0.0073
60,1,0.1567,0.6107
61,0,0.2048,0.0042
62,1,0.4248,0.3061
63,1,0.1384,0.3689
64,1,0.7979,0.2444
65,0,0.8309,0.0147
66,0,0.8372,0.9613
67,0,0.3572,0.0472
68,0,0.4775,0.9108
69,0,0.6365,0.0635
70,1,0.4583,0.3089
71,0,0.0909,0.6319
72,1,0.6588,0.4947
73,0,0.8867,0.6855
74,0,0.0071,0.1672
75,1,0.5554,0.817
76,0,0.8878,0.1073
77,0,0.0423,0.7059
78,1,0.2176,0.2445
79,1,0.4775,0.1644
80,1,0.6119,0.1783
81,1,0.2187,0.5357
82,1,0.3143,0.512
83,0,0.9602,0.4295
84,1,0.8104,0.6102
85,0,0.9573,0.0286
86,1,0.2984,0.6387
87,1,0.6607,0.4507
88,0,0.4379,0.995
89,0,0.3098,0.9013
90,0,0.0483,0.4905
91,1,0.2803,0.5998
92,0,0.6805,0.8933
93,1,0.2341,0.7157
94,1,0.2311,0.6899
95,1,0.3673,0.7964
96,0,0.0237,0.1766
97,1,0.3039,0.424
98,0,0.0273,0.2393
99,0,0.4322,0.0832
100,1,0.1337,0.4311
