Ai_Data:300,1,1,2,-1,N,V2,C1.9
No,x,y,GridNo
1,0.0552,0.4275,3
2,0.3346,0.504,4
3,0.7868,0.9696,8
4,0.9218,0.1042,2
5,0.5099,0.2018,1
6,0.2005,0.2555,0
7,0.9101,0.6933,8
8,0.4728,0.5023,4
9,0.6286,0.9983,7
10,0.0021,0.3718,3
11,0.1012,0.0393,0
12,0.8649,0.3186,2
13,0.715,0.0761,2
14,0.7358,0.3407,5
15,0.3287,0.4975,3
16,0.7806,0.1284,2
17,0.455,0.9174,7
18,0.0765,0.8551,6
19,0.6496,0.3115,1
20,0.2326,0.9686,6
21,0.9068,0.1787,2
22,0.1335,0.5927,3
23,0.1054,0.9607,6
24,0.9753,0.3988,5
25,0.804,0.2048,2
26,0.0189,0.0569,0
27,0.9314,0.2052,2
28,0.7298,0.6242,5
29,0.1701,0.1047,0
30,0.2284,0.4822,3
31,0.078,0.6937,6
32,0.221,0.681,6
33,0.2471,0.39,3
34,0.8346,0.8,8
35,0.0448,0.1327,0
36,0.0269,0.6847,6
37,0.7351,0.1766,2
38,0.4929,0.6685,7
39,0.0268,0.0195,0
40,0.2412,0.1402,0
41,0.3451,0.9482,7
42,0.2601,0.5643,3
43,0.3738,0.9369,7
44,0.9476,0.3157,2
45,0.6647,0.8822,7
46,0.2248,0.9367,6
47,0.3617,0.4104,4
48,0.5068,0.6771,7
49,0.3354,0.7388,7
50,0.9511,0.4245,5
51,0.2764,0.3287,0
52,0.6565,0.3871,4
53,0.5429,0.3117,1
54,0.7343,0.1354,2
55,0.8103,0.9255,8
56,0.4231,0.865,7
57,0.8198,0.4422,5
58,0.6694,0.9876,8
59,0.7715,0.3248,2
60,0.8465,0.4104,5
61,0.1611,0.5952,3
62,0.532,0.1142,1
63,0.1049,0.6484,3
64,0.5174,0.8879,7
65,0.4517,0.9978,7
66,0.4712,0.3301,1
67,0.2267,0.6853,6
68,0.9265,0.4761,5
69,0.2066,0.3406,3
70,0.5161,0.6611,4
71,0.6703,0.1246,2
72,0.6268,0.4774,4
73,0.6238,0.0412,1
74,0.8937,0.9359,8
75,0.0457,0.3505,3
76,0.2083,0.1914,0
77,0.9495,0.0706,2
78,0.1601,0.4402,3
79,0.311,0.7992,6
80,0.0852,0.8505,6
81,0.1558,0.3417,3
82,0.1434,0.6337,3
83,0.356,0.8792,7
84,0.095,0.6176,3
85,0.9307,0.6606,5
86,0.7001,0.9291,8
87,0.899,0.4539,5
88,0.9113,0.6471,5
89,0.9813,0.2401,2
90,0.283,0.5343,3
91,0.6959,0.8858,8
92,0.2678,0.2075,0
93,0.6487,0.7761,7
94,0.3224,0.3562,3
