Ai_Data:300,1,1,2,1,N,C1.9,V2
No,GridNo,x,y
1,2,0.9306,0.2571
2,4,0.6247,0.555
3,0,0.0053,0.1805
4,7,0.5804,0.9732
5,3,0.0165,0.4474
6,6,0.0127,0.833
7,5,0.8566,0.601
8,2,0.7911,0.0018
9,3,0.2128,0.5838
10,5,0.9109,0.6212
11,4,0.3676,0.4276
12,7,0.3804,0.7293
13,0,0.246,0.1786
14,6,0.2844,0.7668
15,8,0.8825,0.9176
16,3,0.3216,0.4504
17,8,0.7279,0.9841
18,7,0.3624,0.7497
19,7,0.4697,0.7635
20,8,0.8239,0.9504
21,3,0.2866,0.6476
22,2,0.9095,0.0393
23,2,0.7093,0.0274
24,6,0.0096,0.8942
25,4,0.5102,0.4273
26,2,0.8098,0.0148
27,0,0.2926,0.1401
28,8,0.9048,0.7773
29,8,0.7024,0.9725
30,5,0.9632,0.4478
31,7,0.4339,0.9608
32,5,0.7418,0.4395
33,1,0.4508,0.1648
34,4,0.4946,0.5467
35,6,0.0956,0.9009
36,1,0.5748,0.1411
37,0,0.0079,0.0226
38,3,0.2754,0.5644
39,0,0.0249,0.1088
40,0,0.207,0.2015
41,7,0.4845,0.6678
42,8,0.7572,0.9684
43,7,0.6038,0.7185
44,1,0.4313,0.2003
45,5,0.8552,0.3554
46,0,0.1186,0.1728
47,1,0.5108,0.1599
48,7,0.5829,0.7414
49,5,0.7775,0.5647
50,8,0.7239,0.8337
51,3,0.1958,0.532
52,7,0.4046,0.7786
53,0,0.2218,0.1544
54,8,0.8949,0.7063
55,0,0.167,0.0383
56,3,0.2244,0.5045
57,5,0.9152,0.5787
58,2,0.9947,0.0647
59,3,0.0907,0.4848
60,7,0.4457,0.802
61,1,0.5975,0.1668
62,8,0.8241,0.6848
63,8,0.7034,0.8409
64,1,0.3503,0.2573
65,3,0.0893,0.465
66,3,0.3308,0.3889
67,7,0.5363,0.8618
68,6,0.2133,0.7367
69,3,0.1727,0.6405
