Ai_Data:100,1,1,2,-1,N,V2,B
No,x,y,isAbove
1,0.0422,0.0494,0
2,0.6387,0.7963,0
3,0.1006,0.7713,1
4,0.9491,0.5993,0
5,0.1178,0.5926,1
6,0.3604,0.32,0
7,0.7389,0.2789,0
8,0.1497,0.3376,0
9,0.585,0.3065,0
10,0.3087,0.4073,0
11,0.1601,0.5877,1
12,0.1047,0.1488,0
13,0.7327,0.0628,0
14,0.9812,0.2393,0
15,0.7369,0.8955,0
16,0.4717,0.6696,0
17,0.4916,0.2552,0
18,0.0481,0.6732,1
19,0.2837,0.9206,1
20,0.0757,0.1879,0
21,0.1121,0.1884,0
22,0.2957,0.9585,1
23,0.6405,0.8227,0
24,0.5093,0.6411,0
25,0.1544,0.0287,0
26,0.3821,0.5169,0
27,0.5698,0.6847,0
28,0.5445,0.6767,0
29,0.7913,0.318,0
30,0.4058,0.7837,1
31,0.9648,0.5578,0
32,0.3576,0.7752,1
33,0.4235,0.0501,0
34,0.2861,0.1122,0
35,0.3719,0.069,0
36,0.566,0.4358,0
37,0.6073,0.3089,0
38,0.9572,0.7407,0
39,0.8235,0.591,0
40,0.0778,0.4243,1
41,0.2947,0.4701,0
42,0.3732,0.8214,1
43,0.9858,0.9746,0
44,0.7544,0.0836,0
45,0.3865,0.9646,1
46,0.3272,0.5126,0
47,0.6165,0.8434,1
48,0.8844,0.7071,0
49,0.5969,0.6047,0
50,0.0817,0.1327,0
51,0.3372,0.4518,0
52,0.4711,0.9739,1
53,0.632,0.4726,0
54,0.812,0.3773,0
55,0.717,0.1041,0
56,0.3324,0.4467,0
57,0.6793,0.3719,0
58,0.8624,0.598,0
59,0.6692,0.1379,0
60,0.0121,0.1331,0
61,0.2111,0.8413,1
62,0.8143,0.1447,0
63,0.1599,0.468,1
64,0.5054,0.1077,0
65,0.0993,0.7304,1
66,0.3667,0.7698,1
67,0.2298,0.6947,1
68,0.7954,0.1983,0
69,0.043,0.3384,1
70,0.0305,0.0947,0
71,0.3282,0.773,1
72,0.2029,0.7337,1
73,0.3095,0.1158,0
74,0.6334,0.1394,0
75,0.9594,0.2458,0
76,0.5486,0.3543,0
77,0.7861,0.9275,0
78,0.6387,0.9142,1
79,0.6414,0.0379,0
80,0.1275,0.8851,1
81,0.3459,0.8793,1
82,0.2764,0.074,0
83,0.1781,0.8143,1
84,0.4962,0.2712,0
85,0.5254,0.7062,0
86,0.486,0.635,0
87,0.2424,0.8994,1
88,0.0726,0.5762,1
89,0.5147,0.7241,1
90,0.6726,0.7542,0
91,0.2736,0.7601,1
92,0.5476,0.0421,0
93,0.4603,0.3432,0
94,0.2756,0.571,1
95,0.6854,0.0501,0
96,0.1102,0.213,0
97,0.0803,0.144,0
98,0.149,0.1116,0
99,0.3883,0.2176,0
100,0.4841,0.1202,0
