Ai_Data:100,1,1,2,1,N,B,V2
No,isAbove,x,y
1,0,0.8367,0.6063
2,1,0.4079,0.8717
3,0,0.1622,0.1932
4,1,0.079,0.6145
5,1,0.324,0.7938
6,0,0.809,0.7419
7,0,0.5617,0.0565
8,0,0.8393,0.2094
9,1,0.1475,0.5611
10,0,0.9157,0.7335
11,1,0.3487,0.8214
12,0,0.2405,0.2381
13,1,0.0995,0.8285
14,1,0.1242,0.8025
15,0,0.1762,0.118
16,1,0.26,0.7191
17,0,0.9257,0.596
18,0,0.7916,0.5213
19,0,0.841,0.6085
20,0,0.597,0.0904
21,1,0.5341,0.9881
22,0,0.4602,0.2013
23,0,0.8992,0.0628
24,0,0.0526,0.1148
25,1,0.5168,0.8612
26,0,0.895,0.079
27,1,0.5934,0.9977
28,0,0.724,0.8457
29,0,0.9837,0.9737
30,0,0.9329,0.5638
31,1,0.0935,0.8776
32,1,0.0099,0.6572
33,0,0.709,0.7185
34,1,0.1451,0.5484
35,1,0.0492,0.8785
36,0,0.4286,0.3354
37,0,0.5902,0.4175
38,1,0.3114,0.7823
39,0,0.4552,0.2141
40,0,0.2497,0.233
41,0,0.42,0.1793
42,0,0.7077,0.3068
43,0,0.829,0.0243
44,0,0.9366,0.4859
45,0,0.9695,0.3193
46,1,0.2054,0.9534
47,0,0.7008,0.8266
48,0,0.4029,0.2924
49,0,0.3852,0.3419
50,1,0.1836,0.9042
51,0,0.417,0.5296
52,0,0.0803,0.2555
53,0,0.8981,0.4851
54,0,0.2534,0.315
55,0,0.2547,0.0093
56,0,0.8001,0.7866
57,0,0.8447,0.8288
58,0,0.7954,0.0009
59,0,0.8498,0.2478
60,0,0.486,0.5726
61,1,0.0015,0.9638
62,0,0.3093,0.1843
63,0,0.937,0.0341
64,0,0.6601,0.1052
65,0,0.2311,0.2248
66,0,0.5755,0.3052
67,0,0.4028,0.2285
68,0,0.7613,0.2725
69,0,0.4414,0.485
70,1,0.6304,0.8949
71,0,0.6506,0.5879
72,0,0.2764,0.0137
73,0,0.8568,0.5137
74,0,0.5531,0.5107
75,0,0.2783,0.1552
76,0,0.683,0.0355
77,1,0.6027,0.8963
78,1,0.0651,0.7347
79,0,0.069,0.2101
80,1,0.2057,0.5914
81,0,0.6016,0.5165
82,0,0.9423,0.2338
83,1,0.293,0.7828
84,0,0.3841,0.3238
85,0,0.782,0.6013
86,1,0.2398,0.8832
87,1,0.3238,0.7301
88,0,0.4544,0.1682
89,0,0.6002,0.3286
90,1,0.3289,0.9514
91,0,0.5652,0.3746
92,0,0.5418,0.3197
93,0,0.874,0.9966
94,0,0.7467,0.3488
95,0,0.6919,0.705
96,0,0.667,0.2627
97,0,0.9296,0.757
98,0,0.8585,0.9379
99,0,0.2024,0.1405
100,1,0.5644,0.8624
