Ai_Data:100,1,1,2,-1,N,V2,B
No,x,y,isAbove
1,0.9515,0.2729,0
2,0.0482,0.0815,0
3,0.8527,0.1026,0
4,0.4067,0.8856,1
5,0.7517,0.086,0
6,0.2506,0.1586,0
7,0.4698,0.8656,1
8,0.2184,0.9659,1
9,0.4474,0.9636,1
10,0.2705,0.6105,1
11,0.4587,0.2924,0
12,0.9333,0.2936,0
13,0.1003,0.5389,1
14,0.9049,0.5768,0
15,0.2897,0.5913,1
16,0.879,0.9424,0
17,0.2564,0.4324,1
18,0.6992,0.0003,0
19,0.7606,0.1711,0
20,0.2006,0.1358,0
21,0.5234,0.1324,0
22,0.3508,0.6483,1
23,0.1043,0.1793,0
24,0.5462,0.6747,1
25,0.7084,0.6885,0
26,0.1766,0.4467,1
27,0.6589,0.8506,1
28,0.8148,0.6776,0
29,0.5195,0.2177,0
30,0.6419,0.1261,0
31,0.0998,0.6698,1
32,0.9672,0.6335,0
33,0.8295,0.2224,0
34,0.9523,0.1814,0
35,0.2348,0.3461,1
36,0.8987,0.7671,0
37,0.5019,0.7214,1
38,0.708,0.1429,0
39,0.3616,0.6,1
40,0.3747,0.7165,1
41,0.7798,0.1935,0
42,0.6205,0.1601,0
43,0.1876,0.7634,1
44,0.0291,0.5233,1
45,0.2367,0.3328,1
46,0.2921,0.8987,1
47,0.3124,0.1915,0
48,0.4243,0.9356,1
49,0.2906,0.6177,1
50,0.0576,0.7492,1
51,0.2724,0.4871,1
52,0.1746,0.0229,0
53,0.2798,0.6913,1
54,0.8885,0.3486,0
55,0.1488,0.5382,1
56,0.1317,0.1044,0
57,0.102,0.555,1
58,0.3599,0.4142,1
59,0.7372,0.3672,0
60,0.6327,0.9884,1
61,0.4149,0.5741,1
62,0.6797,0.8901,1
63,0.2798,0.7934,1
64,0.8107,0.5258,0
65,0.4004,0.2966,0
66,0.7806,0.4063,0
67,0.7609,0.9072,1
68,0.9676,0.4749,0
69,0.0905,0.0835,0
70,0.4742,0.0502,0
71,0.7636,0.3575,0
72,0.0103,0.6795,1
73,0.256,0.5527,1
74,0.668,0.4506,0
75,0.8904,0.4514,0
76,0.9477,0.5585,0
77,0.8577,0.8345,0
78,0.6442,0.1738,0
79,0.7453,0.0657,0
80,0.4524,0.9094,1
81,0.0601,0.6401,1
82,0.4023,0.4332,1
83,0.4785,0.3723,0
84,0.4828,0.0229,0
85,0.8077,0.1424,0
86,0.0627,0.1103,0
87,0.8944,0.3748,0
88,0.9693,0.1111,0
89,0.9632,0.6694,0
90,0.3338,0.0889,0
91,0.1209,0.2584,1
92,0.562,0.0475,0
93,0.0092,0.2101,1
94,0.0412,0.9016,1
95,0.8423,0.5517,0
96,0.4412,0.4197,1
97,0.3117,0.7327,1
98,0.7196,0.6887,0
99,0.0941,0.1015,0
100,0.1907,0.8947,1
