Ai_Data:100,1,1,2,1,N,B,V2
No,isAbove,x,y
1,1,0.7222,0.7888
2,1,0.4856,0.7835
3,0,0.5743,0.4425
4,1,0.6493,0.7206
5,0,0.0719,0.0809
6,1,0.0358,0.8499
7,0,0.809,0.761
8,1,0.1194,0.233
9,1,0.2989,0.8289
10,1,0.2756,0.7241
11,1,0.4448,0.7079
12,0,0.9104,0.5521
13,1,0.1354,0.3166
14,0,0.7383,0.6489
15,0,0.5769,0.1637
16,1,0.4447,0.8979
17,1,0.2188,0.4167
18,1,0.2156,0.7216
19,1,0.3845,0.4911
20,0,0.871,0.6837
21,0,0.9649,0.9565
22,0,0.5838,0.0245
23,0,0.7852,0.8074
24,0,0.4215,0.3031
25,0,0.5035,0.3952
26,1,0.1922,0.5684
27,1,0.1516,0.5679
28,1,0.3319,0.7294
29,1,0.6763,0.8147
30,0,0.8148,0.0486
31,1,0.091,0.4626
32,1,0.3238,0.9281
33,1,0.0975,0.2216
34,1,0.1633,0.4131
35,1,0.2867,0.6252
36,0,0.6497,0.0813
37,0,0.2771,0.1632
38,0,0.9639,0.2435
39,0,0.4025,0.1545
40,0,0.7002,0.6246
41,0,0.8059,0.6548
42,1,0.5955,0.9484
43,1,0.0499,0.9485
44,0,0.1741,0.0972
45,0,0.604,0.4198
46,1,0.2912,0.7692
47,0,0.8165,0.8508
48,0,0.8109,0.8037
49,1,0.2312,0.443
50,0,0.9018,0.5984
51,0,0.3587,0.1096
52,0,0.6855,0.2886
53,1,0.2602,0.8352
54,1,0.2219,0.6108
55,0,0.5555,0.1492
56,1,0.0657,0.6236
57,0,0.7118,0.0112
58,0,0.8788,0.7063
59,0,0.7254,0.6538
60,0,0.8324,0.5074
61,0,0.5532,0.1804
62,0,0.7836,0.7662
63,0,0.9056,0.9645
64,0,0.4614,0.1773
65,0,0.2585,0.1487
66,1,0.1447,0.7215
67,1,0.1943,0.7877
68,0,0.569,0.1342
69,1,0.4318,0.4346
70,1,0.0442,0.4335
71,0,0.154,0.2167
72,1,0.019,0.6795
73,1,0.4927,0.6964
74,0,0.5763,0.3874
75,0,0.2795,0.0661
76,0,0.5928,0.2651
77,1,0.4242,0.4726
78,0,0.5488,0.1983
79,1,0.5263,0.5179
80,1,0.2216,0.6548
81,0,0.5835,0.2346
82,1,0.7466,0.929
83,0,0.9026,0.0805
84,1,0.7817,0.8996
85,1,0.5749,0.752
86,0,0.7578,0.2216
87,1,0.1239,0.8603
88,0,0.4516,0.1246
89,1,0.1854,0.7702
90,0,0.3626,0.2401
91,0,0.3295,0.1457
92,0,0.6319,0.1283
93,0,0.3828,0.001
94,0,0.4841,0.427
95,0,0.8619,0.3034
96,1,0.4282,0.7951
97,1,0.3759,0.4247
98,0,0.7024,0.0711
99,1,0.1086,0.9876
100,0,0.6954,0.3197
