Ai_Data:500,1,1,2,-1,N,V2,C1.5
No,x,y,isInsideR.4
1,0.8948,0.2551,0
2,0.0315,0.0783,0
3,0.8425,0.0957,0
4,0.6808,0.2403,4
5,0.6441,0.1274,4
6,0.2853,0.129,0
7,0.5969,0.3329,4
8,0.9877,0.3539,0
9,0.9801,0.0137,0
10,0.5753,0.0018,0
11,0.7281,0.0964,0
12,0.6994,0.1701,4
13,0.2856,0.3423,3
14,0.6106,0.083,0
15,0.3764,0.1323,3
16,0.7711,0.5883,1
17,0.6727,0.749,1
18,0.9515,0.0796,0
19,0.5977,0.3273,4
20,0.6728,0.1438,4
21,0.7461,0.8961,0
22,0.1021,0.4779,3
23,0.6581,0.1828,4
24,0.7622,0.8734,0
25,0.9292,0.1025,0
26,0.664,0.3155,4
27,0.8921,0.1028,0
28,0.7204,0.4928,4
29,0.3534,0.788,2
30,0.5533,0.2651,4
31,0.1217,0.4928,3
32,0.0498,0.8868,0
33,0.3085,0.7283,2
34,0.2801,0.0309,0
35,0.6393,0.6721,1
36,0.6345,0.9125,0
37,0.2569,0.1239,0
38,0.2899,0.0575,0
39,0.7526,0.5988,1
40,0.3639,0.5139,2
41,0.4095,0.4807,3
42,0.3681,0.5517,2
43,0.8918,0.4063,0
44,0.8176,0.1501,0
45,0.8646,0.3034,0
46,0.1071,0.8163,0
47,0.2796,0.7534,2
48,0.0139,0.5355,0
49,0.3088,0.6016,2
50,0.435,0.8965,0
51,0.1637,0.9861,0
52,0.2201,0.6922,2
53,0.2809,0.2078,3
54,0.2078,0.5391,2
55,0.6118,0.1124,0
56,0.8257,0.3156,4
57,0.9979,0.9083,0
58,0.8635,0.4636,4
59,0.8687,0.5893,1
60,0.2778,0.4519,3
61,0.7439,0.387,4
62,0.1392,0.9469,0
63,0.2767,0.9224,0
64,0.0794,0.4886,0
65,0.821,0.9806,0
66,0.8499,0.7188,0
67,0.7575,0.0782,0
68,0.8494,0.4569,4
69,0.0631,0.2476,0
70,0.7308,0.172,0
71,0.8575,0.7084,0
72,0.4464,0.6471,2
73,0.9121,0.3486,0
74,0.3414,0.8827,0
75,0.3551,0.1872,3
76,0.1538,0.5363,2
77,0.0567,0.2401,0
78,0.0321,0.4452,0
79,0.4304,0.4611,3
80,0.9277,0.0289,0
81,0.633,0.6801,1
82,0.9737,0.6182,0
