Ai_Data:500,1,1,2,1,N,C1.5,V2
No,isInSideR.4,x,y
1,3,0.1992,0.2404
2,4,0.7294,0.4537
3,0,0.0464,0.9765
4,3,0.2735,0.3041
5,0,0.0039,0.5803
6,0,0.8144,0.819
7,4,0.6429,0.1505
8,0,0.8095,0.8597
9,0,0.8841,0.1155
10,2,0.2761,0.6355
11,0,0.1434,0.1495
12,0,0.3081,0.9779
13,3,0.139,0.3944
14,0,0.1217,0.2562
15,0,0.9056,0.7209
16,3,0.3012,0.2934
17,0,0.8151,0.0152
18,0,0.1673,0.8937
19,1,0.6469,0.7231
20,2,0.438,0.8385
21,0,0.0091,0.1389
22,4,0.6071,0.4621
23,4,0.6533,0.1702
24,4,0.709,0.1659
25,2,0.483,0.5659
26,3,0.3938,0.4805
27,2,0.3009,0.8396
28,2,0.4836,0.5346
29,4,0.592,0.3743
30,0,0.4321,0.0408
31,4,0.8901,0.4418
32,3,0.3595,0.1576
33,4,0.5243,0.1215
34,1,0.5844,0.8362
35,4,0.7918,0.3531
36,1,0.8248,0.5127
37,1,0.8546,0.6074
38,3,0.4895,0.2535
39,0,0.9066,0.9099
40,1,0.7327,0.7154
41,3,0.4085,0.2009
42,2,0.193,0.5272
43,3,0.4361,0.267
44,0,0.5886,0.9546
45,2,0.4407,0.7285
46,0,0.5911,0.9562
47,0,0.9669,0.8167
48,0,0.6495,0.9905
49,0,0.1253,0.9255
50,4,0.6862,0.1833
51,0,0.8673,0.1719
52,1,0.8366,0.7151
53,3,0.3583,0.4495
54,1,0.6552,0.537
55,0,0.9962,0.7103
56,2,0.4591,0.7756
57,4,0.8728,0.4569
58,4,0.7307,0.4355
59,1,0.7242,0.6825
60,4,0.7524,0.2593
61,1,0.667,0.741
62,0,0.894,0.8538
63,0,0.2682,0.8816
64,3,0.2265,0.4424
65,4,0.7443,0.4339
66,2,0.3812,0.853
67,0,0.3376,0.8757
68,1,0.8292,0.6001
69,0,0.1659,0.2697
70,0,0.0012,0.1718
71,0,0.0931,0.8026
72,0,0.9199,0.8795
73,3,0.4163,0.4108
74,0,0.2671,0.8811
75,2,0.4185,0.7276
76,0,0.0573,0.2357
77,0,0.0808,0.8364
78,0,0.3393,0.1007
79,1,0.5044,0.5632
80,4,0.5985,0.4293
81,4,0.8358,0.294
82,1,0.7811,0.7786
83,1,0.745,0.5514
84,0,0.1116,0.0873
85,0,0.7516,0.8129
86,2,0.1274,0.5327
87,0,0.9468,0.3089
88,1,0.5998,0.826
89,0,0.9077,0.7803
90,2,0.2655,0.5553
91,4,0.8504,0.4344
92,4,0.5389,0.4364
93,2,0.3202,0.5801
94,1,0.6284,0.5796
95,0,0.9639,0.6786
96,0,0.7269,0.1326
97,0,0.1824,0.7938
98,0,0.2007,0.9093
99,1,0.71,0.6763
100,0,0.9459,0.8623
101,0,0.4174,0.9648
102,2,0.3368,0.5103
103,0,0.8849,0.2417
104,2,0.4366,0.6792
105,0,0.5434,0.9238
106,3,0.3921,0.1649
107,3,0.4294,0.2257
108,0,0.1859,0.1796
109,1,0.8512,0.6779
110,2,0.166,0.6887
111,0,0.5132,0.9358
112,0,0.0261,0.9996
113,0,0.8948,0.8619
114,0,0.158,0.2098
115,0,0.9313,0.1184
116,4,0.5472,0.3759
117,2,0.2936,0.7516
118,1,0.6358,0.5107
119,1,0.813,0.5042
120,0,0.8213,0.7692
121,0,0.8484,0.84
122,4,0.5166,0.4326
123,0,0.6433,0.9147
124,0,0.94,0.5492
125,0,0.9684,0.9766
126,0,0.0599,0.3421
127,0,0.5971,0.9333
128,2,0.3637,0.7428
129,0,0.4118,0.0675
130,2,0.374,0.6605
131,0,0.1855,0.1366
132,0,0.084,0.8451
133,3,0.3385,0.3401
134,4,0.7336,0.4557
135,0,0.2147,0.8902
136,1,0.5981,0.6916
137,4,0.6755,0.1686
138,0,0.7115,0.0965
139,0,0.0578,0.7055
140,4,0.6961,0.3947
141,4,0.794,0.4631
142,0,0.1211,0.9692
143,0,0.2385,0.1602
144,0,0.0603,0.3409
145,1,0.5004,0.6204
146,4,0.773,0.2572
147,3,0.3276,0.38
148,4,0.6777,0.2519
149,0,0.3387,0.0379
150,0,0.0428,0.7826
151,0,0.1521,0.0842
152,0,0.0642,0.3075
153,0,0.2057,0.1897
154,0,0.2526,0.9103
155,3,0.3169,0.1927
156,3,0.3022,0.3311
157,3,0.2786,0.2654
158,1,0.8635,0.5153
159,0,0.0382,0.9963
160,0,0.8898,0.0377
161,3,0.2558,0.3711
162,0,0.4822,0.0117
163,0,0.2904,0.8885
164,3,0.4028,0.3444
165,0,0.9088,0.2931
166,4,0.679,0.4444
167,2,0.2651,0.6612
168,0,0.97,0.7439
169,0,0.9482,0.8241
170,1,0.6188,0.6435
171,3,0.1425,0.3615
172,1,0.5596,0.7393
173,2,0.201,0.6519
174,4,0.5043,0.4413
175,2,0.1753,0.7119
176,0,0.079,0.3429
177,0,0.101,0.8107
178,0,0.8321,0.9511
179,0,0.0852,0.0928
180,2,0.2871,0.6361
181,2,0.4915,0.6944
182,0,0.4608,0.9098
183,0,0.7719,0.087
184,4,0.5189,0.393
185,1,0.7403,0.6331
186,0,0.492,0.0811
187,2,0.335,0.5877
188,2,0.2223,0.7656
189,0,0.168,0.0316
190,0,0.9638,0.7234
191,3,0.4071,0.4682
192,0,0.308,0.0318
193,0,0.7876,0.0708
194,0,0.3563,0.1183
195,0,0.8011,0.8139
196,3,0.3115,0.4062
197,0,0.3577,0.9712
198,0,0.9101,0.1629
199,2,0.4688,0.7179
200,0,0.3676,0.9131
201,0,0.7474,0.8187
202,0,0.7576,0.0238
203,1,0.7725,0.6379
204,0,0.9979,0.3219
205,0,0.6144,0.9542
206,0,0.8655,0.8538
207,0,0.0688,0.3166
208,0,0.71,0.1452
209,0,0.3949,0.924
210,1,0.7914,0.5718
211,4,0.6055,0.2636
212,2,0.4098,0.6995
213,0,0.6063,0.9934
214,2,0.252,0.7038
215,1,0.73,0.8007
216,4,0.6258,0.2279
217,3,0.463,0.2238
218,4,0.5035,0.2878
219,2,0.4114,0.6691
220,0,0.5469,0.086
221,0,0.8034,0.1101
222,1,0.5358,0.8403
223,0,0.074,0.1996
224,0,0.8714,0.9898
225,2,0.3305,0.783
226,0,0.0773,0.3856
227,0,0.7439,0.0445
228,3,0.4691,0.3264
229,0,0.1646,0.7718
230,2,0.4144,0.5479
231,4,0.5082,0.4732
232,1,0.8564,0.5266
233,4,0.7088,0.3314
234,0,0.0214,0.7051
235,3,0.2864,0.2291
236,2,0.483,0.5009
237,4,0.8261,0.3301
238,0,0.0044,0.206
239,0,0.9141,0.9499
240,0,0.8314,0.1376
241,2,0.3301,0.7015
242,2,0.357,0.6495
243,4,0.5399,0.1495
244,0,0.3297,0.8629
245,4,0.7878,0.4576
246,0,0.0287,0.2263
247,2,0.334,0.7635
248,0,0.0754,0.2642
249,4,0.6345,0.2655
250,0,0.8056,0.1232
251,4,0.5101,0.2563
252,2,0.3728,0.7757
253,1,0.6018,0.5858
254,0,0.0041,0.99
255,4,0.659,0.2911
256,0,0.0828,0.4264
257,3,0.4576,0.3736
258,0,0.9764,0.4688
259,0,0.3952,0.9622
260,1,0.785,0.6507
261,0,0.0592,0.3426
262,2,0.4291,0.7857
263,2,0.3162,0.5903
264,0,0.7518,0.1613
265,1,0.7181,0.7907
266,4,0.5538,0.4052
267,0,0.2733,0.0795
268,0,0.7363,0.8847
269,0,0.878,0.9894
270,0,0.9709,0.7468
271,0,0.9564,0.8372
272,0,0.5711,0.9597
273,0,0.105,0.1344
274,0,0.4849,0.9645
275,4,0.7898,0.2571
276,1,0.5812,0.7972
277,2,0.3904,0.8593
278,1,0.6532,0.7887
279,0,0.1415,0.7633
280,0,0.808,0.2041
281,4,0.7656,0.3121
282,3,0.1668,0.43
283,4,0.8449,0.4184
284,0,0.0465,0.5681
285,2,0.2303,0.7938
286,0,0.0437,0.5466
287,0,0.0322,0.0932
288,0,0.6952,0.1063
289,0,0.9924,0.9591
290,4,0.6346,0.2732
291,3,0.2814,0.1989
292,3,0.4182,0.1752
293,0,0.0209,0.5808
294,3,0.4415,0.313
295,0,0.0751,0.9824
296,1,0.6192,0.6445
297,0,0.9111,0.8755
298,0,0.7484,0.0919
299,4,0.572,0.3833
300,4,0.7296,0.3317
301,0,0.0622,0.3922
302,0,0.0648,0.9752
303,4,0.6906,0.4543
304,2,0.307,0.501
305,3,0.1679,0.464
306,2,0.3811,0.5471
307,4,0.5064,0.3433
308,0,0.9485,0.4234
309,0,0.0185,0.221
310,0,0.2379,0.9525
311,0,0.9602,0.8383
312,0,0.0141,0.9998
313,4,0.6169,0.1672
314,4,0.6057,0.301
315,4,0.8797,0.475
316,3,0.1648,0.4467
317,4,0.6058,0.3189
318,4,0.5793,0.1341
319,3,0.3138,0.2066
320,0,0.7116,0.044
321,0,0.0079,0.9056
322,0,0.8829,0.9541
323,2,0.1789,0.6364
324,0,0.7779,0.9458
325,2,0.2792,0.6341
326,0,0.189,0.8163
327,0,0.2178,0.8123
328,0,0.2741,0.0532
329,1,0.6735,0.5144
330,0,0.2488,0.9829
331,2,0.2713,0.5849
332,0,0.6845,0.9502
333,0,0.9208,0.2484
334,1,0.8358,0.6402
335,1,0.8621,0.5267
336,0,0.6671,0.9013
337,0,0.2169,0.1814
338,1,0.5018,0.6776
339,0,0.0913,0.415
340,0,0.4656,0.9123
341,1,0.5268,0.8151
342,2,0.145,0.5293
343,0,0.8475,0.2765
344,0,0.1341,0.8535
345,0,0.1993,0.8845
346,0,0.3908,0.079
347,0,0.3283,0.9952
348,1,0.5743,0.6448
349,0,0.8953,0.9961
350,1,0.7857,0.6264
351,4,0.8738,0.4819
352,2,0.3848,0.5043
353,0,0.8275,0.8293
354,0,0.8025,0.9167
355,3,0.114,0.4064
356,4,0.5234,0.2583
357,0,0.3135,0.8997
358,4,0.6588,0.232
359,3,0.4268,0.4934
360,1,0.7819,0.7148
361,0,0.6411,0.886
362,0,0.9484,0.5461
363,4,0.7101,0.3787
364,0,0.0728,0.0987
365,2,0.2455,0.518
366,0,0.0838,0.741
367,0,0.4658,0.03
368,1,0.5292,0.5502
369,0,0.2003,0.0279
370,1,0.5529,0.8862
371,2,0.1957,0.7289
372,2,0.4167,0.6848
373,0,0.0196,0.1642
374,0,0.9868,0.5806
375,0,0.1113,0.6161
376,0,0.8585,0.2172
377,1,0.7735,0.7678
378,0,0.0408,0.3568
379,0,0.1546,0.7986
380,2,0.3717,0.6458
381,0,0.5158,0.9105
382,0,0.0878,0.1478
383,0,0.3325,0.0195
384,0,0.2177,0.0017
385,0,0.0243,0.5964
386,1,0.7242,0.8163
387,0,0.3631,0.891
388,1,0.5638,0.6586
389,0,0.8534,0.0253
390,0,0.0883,0.7467
391,1,0.6347,0.6885
392,3,0.458,0.2062
393,4,0.6995,0.4193
394,0,0.9908,0.4992
395,2,0.4774,0.7089
396,4,0.6161,0.3856
397,0,0.0786,0.4108
398,1,0.8586,0.5264
399,4,0.7468,0.1897
400,0,0.0212,0.0873
401,0,0.3164,0.9946
402,0,0.4906,0.9531
403,1,0.721,0.792
404,3,0.3362,0.4119
405,0,0.8515,0.0406
406,4,0.6257,0.4179
407,2,0.309,0.6451
408,0,0.1277,0.7931
409,4,0.8502,0.3706
410,0,0.3241,0.9771
411,0,0.5724,0.9543
412,0,0.9038,0.1831
413,3,0.1343,0.3969
414,0,0.1603,0.072
415,4,0.5598,0.1702
416,0,0.9634,0.3009
417,3,0.4217,0.3231
418,2,0.2293,0.5582
419,2,0.4525,0.7218
420,0,0.0583,0.9427
421,0,0.8784,0.9082
422,0,0.9647,0.797
423,0,0.0241,0.3109
424,4,0.8679,0.3547
425,0,0.9846,0.7927
426,0,0.7695,0.8099
427,2,0.4119,0.7699
428,2,0.2861,0.6692
429,4,0.7119,0.387
430,3,0.46,0.4955
431,3,0.2004,0.4815
432,4,0.5212,0.4023
433,0,0.0134,0.3229
434,0,0.5208,0.9088
435,4,0.8186,0.361
436,0,0.008,0.0144
437,4,0.627,0.4669
438,2,0.1739,0.6027
439,3,0.2483,0.4016
440,2,0.1321,0.5334
441,3,0.1901,0.4969
442,0,0.2592,0.0327
443,0,0.0458,0.7817
444,4,0.7672,0.2402
445,0,0.6679,0.0403
446,0,0.928,0.0233
447,1,0.6759,0.5345
448,4,0.6247,0.4167
449,0,0.0928,0.3756
450,0,0.1487,0.2977
451,0,0.1586,0.7807
452,3,0.4161,0.1563
453,1,0.618,0.696
454,0,0.0253,0.0693
455,0,0.0277,0.5236
456,0,0.8269,0.2374
457,0,0.8821,0.9351
458,0,0.9283,0.6961
