Ai_Data:500,1,1,2,-1,N,V2,B
No,x,y,UpSand
1,9.6791,8.9021,1
2,8.2478,2.3532,1
3,8.3814,1.6079,1
4,3.5582,6.8661,1
5,6.0135,1.4241,0
6,2.511,8.9457,1
7,2.7855,6.128,1
8,5.1217,1.8223,0
9,8.1078,6.5669,1
10,2.1098,9.0019,1
11,6.559,8.3769,1
12,2.8638,0.97,0
13,5.7793,3.3198,0
14,1.503,2.3736,1
15,6.7547,2.5835,0
16,2.7534,8.2752,1
17,9.4638,6.8886,1
18,1.8564,0.5736,0
19,9.3541,0.7459,1
20,5.2303,8.1832,1
21,2.6175,0.7073,0
22,1.1015,7.0684,1
23,0.7328,9.9556,1
24,1.8262,8.7237,1
25,7.2449,4.0748,1
26,2.1193,8.1961,1
27,2.2494,5.3468,1
28,9.9109,5.2415,1
29,2.5505,5.4164,1
30,9.0486,4.7097,1
31,7.9613,8.6703,1
32,5.5633,4.7519,1
33,6.7166,1.171,0
34,1.7197,3.9445,1
35,5.4639,2.4931,0
36,4.5674,0.9214,0
37,1.8054,0.3022,0
38,8.2133,2.6117,1
39,9.8556,0.0225,1
40,1.5336,9.6728,1
41,1.7866,4.4356,1
42,5.5435,0.216,0
43,0.8278,0.5551,0
44,7.1445,5.4158,1
45,3.6896,3.62,1
46,8.4668,3.0986,1
47,2.8796,0.5514,0
48,3.5264,7.9027,1
49,1.8806,7.7148,1
50,6.4157,9.1052,1
51,8.6578,0.3346,1
52,7.7452,9.7084,1
53,5.4655,3.4009,0
54,8.557,2.8792,1
55,5.4213,6.4152,1
56,3.4272,4.3364,1
57,8.8166,6.8179,1
58,6.9759,1.7791,0
59,4.6317,9.4401,1
60,0.5056,4.9489,1
61,5.2256,1.8259,0
62,7.984,2.422,1
63,4.6675,7.7665,1
64,3.0917,3.7224,1
65,3.6803,3.8919,1
66,1.5533,7.8515,1
67,6.664,6.6617,1
68,5.4703,1.8281,0
69,8.7675,9.6017,1
70,8.8746,5.3305,1
71,3.4786,3.1269,0
72,6.2216,0.0374,0
73,3.6999,1.7967,0
74,8.0413,4.759,1
75,1.7801,6.3463,1
76,0.4668,9.9527,1
77,6.4688,0.3354,0
78,7.8578,7.7177,1
79,7.2641,3.7619,1
80,0.2393,5.8621,1
81,9.1213,8.4803,1
82,9.773,7.1352,1
83,2.9921,2.7721,0
84,2.9809,7.2206,1
85,0.1624,4.9094,1
86,7.9393,7.5816,1
87,0.8572,8.0565,1
88,8.1628,1.7552,1
89,0.0828,1.3533,0
90,7.3958,6.186,1
91,6.1732,4.5244,1
92,2.0316,9.1955,1
93,0.0109,5.8565,1
94,0.377,4.1798,1
95,5.3899,5.8897,1
96,0.4808,5.6292,1
97,3.4903,1.6644,0
98,0.7465,9.0645,1
99,6.9329,8.8697,1
100,0.0462,8.4824,1
101,1.3823,1.7349,0
102,6.5555,7.4048,1
103,5.1682,3.0095,0
104,7.0277,2.1251,0
105,9.8926,8.8751,1
106,0.7265,8.2462,1
107,7.4922,6.1314,1
108,4.7351,4.102,1
109,1.7245,1.5031,0
110,9.8616,7.1586,1
111,4.5467,5.4084,1
112,8.8588,1.9874,1
113,0.3556,5.0347,1
114,1.1766,0.9038,0
115,3.5583,4.0644,1
116,0.9668,0.8662,0
117,7.4406,8.8951,1
118,7.5589,2.7284,1
119,4.8039,3.6977,0
120,0.1248,1.439,0
121,3.3382,9.1557,1
122,0.7519,8.2822,1
123,1.1999,2.2305,1
124,2.6432,8.7529,1
125,0.7638,6.7954,1
126,2.663,2.1608,0
127,1.0173,7.483,1
128,9.9474,1.5565,1
129,1.5665,1.5881,0
130,4.7974,5.0737,1
131,3.7217,6.3727,1
132,4.5744,2.2809,0
133,6.6321,1.6137,0
134,5.8165,1.6373,0
135,8.938,9.7389,1
136,4.2937,7.6449,1
137,8.9096,8.3951,1
138,7.2219,8.7927,1
139,8.5401,2.7912,1
140,4.3535,9.8852,1
141,9.564,7.6601,1
142,7.1638,4.8491,1
143,1.8661,1.1843,0
144,7.8517,8.6126,1
145,7.2537,5.7277,1
146,2.3743,9.1511,1
147,4.0576,2.7173,0
148,4.2321,3.2918,0
149,0.5327,1.5201,0
150,8.2264,2.3723,1
151,7.5253,4.6573,1
152,5.9052,6.3469,1
153,3.3779,4.1996,1
154,6.9174,7.4329,1
155,6.5381,6.6892,1
156,2.9947,6.8924,1
157,3.8417,6.4298,1
158,3.7777,1.0427,0
159,4.9384,9.4898,1
160,6.2083,5.0882,1
161,5.8289,3.2627,0
162,1.7039,5.8693,1
163,6.9817,8.9268,1
164,7.8341,7.1201,1
165,3.9995,6.6503,1
166,3.7181,3.3308,0
167,1.3018,5.8833,1
168,0.8613,0.8056,0
169,1.7957,5.5815,1
170,3.6507,7.0139,1
171,8.0001,1.7066,1
172,6.2265,1.8239,0
173,2.5947,1.8435,0
174,4.9498,6.7169,1
175,8.8609,9.283,1
176,8.1849,0.5718,0
177,3.9852,1.4087,0
178,7.6142,3.1175,1
179,0.6911,9.7365,1
180,7.8061,9.6438,1
181,5.1709,1.4465,0
182,3.2523,3.0661,0
183,1.7849,4.7535,1
184,4.5955,1.9378,0
185,7.4968,2.9597,1
186,8.2653,5.5033,1
187,1.5139,4.5315,1
188,6.2403,9.3856,1
189,8.102,9.0466,1
190,5.1565,8.0032,1
191,3.0417,1.3536,0
192,6.4804,2.3083,0
193,6.6972,8.7877,1
194,1.9643,3.9415,1
195,9.164,8.7878,1
196,1.1047,9.3965,1
197,5.4667,6.7569,1
198,9.8209,0.288,1
199,1.2732,6.511,1
200,2.0724,8.3164,1
201,2.096,8.1589,1
202,8.6359,6.0248,1
203,1.4483,0.7584,0
204,9.7583,6.9395,1
205,5.924,9.5906,1
206,0.9053,1.1896,0
207,7.67,0.3977,0
208,3.325,5.1988,1
209,7.2203,5.4276,1
210,3.6445,6.5432,1
211,2.16,8.6281,1
212,9.2181,7.5687,1
213,9.5878,9.8363,1
214,8.4471,3.8624,1
215,2.8465,0.3048,0
216,7.7877,6.1707,1
217,5.4897,4.4105,1
218,9.6686,6.8586,1
219,7.9536,4.8881,1
220,8.0344,4.504,1
221,4.9022,1.4331,0
222,0.7351,2.7202,1
223,3.7161,5.0176,1
224,0.4803,1.8007,0
225,7.0915,2.7627,0
226,8.5765,4.2806,1
227,5.2198,0.7114,0
228,8.1655,8.0066,1
229,5.5163,4.3455,1
230,6.1854,2.8116,0
231,0.3659,9.1905,1
232,5.7686,9.3862,1
233,5.8554,6.3519,1
234,3.3006,1.4409,0
235,6.961,0.3276,0
236,6.8533,4.7536,1
237,7.1594,8.9383,1
238,5.2158,9.1952,1
239,2.9318,7.7219,1
240,9.239,2.3277,1
241,6.1288,3.6337,0
242,9.7131,5.6683,1
243,9.6655,5.3978,1
244,8.4975,7.213,1
245,4.5157,0.3517,0
246,2.1214,6.314,1
247,8.4737,0.1296,0
248,9.5735,9.5046,1
249,9.6517,0.0268,1
250,8.5004,8.3641,1
251,0.1832,9.39,1
252,6.5312,3.019,0
253,8.0997,2.8764,1
254,6.9489,7.3712,1
255,7.8501,4.9253,1
256,0.425,4.6496,1
257,2.4316,2.2874,0
258,7.0385,4.3769,1
259,2.6003,1.9537,0
260,5.2958,4.3468,1
261,1.1307,4.3283,1
262,7.3721,3.7044,1
263,2.5935,3.99,1
264,2.292,5.7239,1
265,1.6187,2.8851,1
266,1.2678,1.3772,0
267,5.1142,3.2949,0
268,1.9156,7.2874,1
269,6.4083,0.4238,0
270,0.5668,4.1612,1
271,1.7852,6.9489,1
272,4.3936,4.2925,1
273,2.3806,4.3769,1
274,7.5681,9.2332,1
275,6.9087,8.5516,1
276,8.1735,1.2232,0
277,3.1872,9.1548,1
278,5.0858,4.4737,1
279,8.9302,5.5461,1
280,6.5448,4.8984,1
281,4.7776,3.783,0
282,4.6337,9.3851,1
283,5.029,2.168,0
284,2.3851,8.2022,1
285,4.0519,5.1634,1
286,2.7335,6.6341,1
287,8.8325,8.0199,1
288,1.0312,4.4387,1
289,0.6376,6.9614,1
290,5.3484,4.2204,1
291,1.2565,2.2704,1
292,1.2748,2.3136,1
293,1.7923,4.1173,1
294,0.4417,8.2692,1
295,4.4698,3.4781,0
296,4.4841,1.5386,0
297,0.4309,2.983,1
298,8.6605,6.4491,1
299,8.9841,5.0413,1
300,1.8497,9.0627,1
301,6.2782,7.0842,1
302,2.1439,2.0154,0
303,3.8687,6.272,1
304,9.7556,5.927,1
305,0.1457,8.5066,1
306,1.4575,8.478,1
307,0.0908,9.0952,1
308,3.2753,4.7457,1
309,1.3345,4.9077,1
310,0.6507,4.8942,1
311,6.9797,0.3727,0
312,7.7933,7.8113,1
313,8.1624,2.1538,1
314,0.4416,1.7867,0
315,1.8171,9.853,1
316,8.7504,5.8249,1
317,1.6162,2.5815,1
318,9.5245,7.6866,1
319,2.5519,3.7449,1
320,9.5157,7.2522,1
321,2.1292,8.8843,1
322,4.0043,6.3016,1
323,3.6398,3.9173,1
324,7.3819,8.3035,1
325,9.4835,3.6246,1
326,4.9547,4.3086,1
327,5.0084,2.7229,0
328,7.6869,3.5393,1
329,5.837,4.3704,1
330,4.1017,9.7717,1
331,4.1469,3.4475,0
332,6.0598,7.1008,1
333,1.8763,4.4567,1
334,7.6327,1.1856,0
335,1.3211,6.3847,1
336,8.7918,4.5654,1
337,6.0939,9.3725,1
338,8.1293,7.1431,1
339,7.913,0.5345,0
340,1.3324,5.4271,1
341,7.1901,8.7726,1
342,4.6268,6.6282,1
343,7.8858,0.9278,0
344,4.9108,6.202,1
345,9.6009,4.1139,1
346,0.797,9.9342,1
347,2.3737,1.5757,0
348,1.2814,4.1588,1
349,2.1501,1.9176,0
350,1.2574,0.2065,0
351,7.3969,4.0437,1
352,5.5953,1.674,0
353,9.8265,2.6556,1
354,6.0042,5.6106,1
355,4.7012,1.6505,0
356,7.3963,1.213,0
357,8.6867,5.2625,1
358,2.9716,2.1253,0
359,5.7229,9.2929,1
360,9.7421,0.9349,1
361,3.8818,7.2718,1
362,8.7147,6.9603,1
363,8.6789,8.8945,1
364,6.4501,0.9233,0
365,0.8103,0.5782,0
366,7.2186,2.5995,0
367,8.781,0.4803,1
368,7.4689,0.0417,0
369,9.3952,2.8242,1
370,6.8318,1.4686,0
371,1.5764,8.8754,1
372,2.374,3.4139,1
373,1.4865,4.4114,1
374,5.3246,1.2284,0
375,9.4122,6.0298,1
376,1.9891,0.5297,0
377,1.3882,1.1377,0
378,3.0732,0.6928,0
379,1.025,8.9672,1
380,8.1323,3.9752,1
381,9.5109,2.4589,1
382,4.3677,6.3713,1
383,4.2563,3.3594,0
384,1.4867,8.7882,1
385,9.1494,5.3751,1
386,6.8461,9.6377,1
387,1.892,2.7256,1
388,7.5974,2.4386,0
389,6.3843,3.9429,1
390,9.0529,4.5222,1
391,0.6271,3.2564,1
392,0.9915,5.4345,1
393,3.1102,4.4118,1
394,6.1223,6.1302,1
395,3.1561,4.2632,1
396,7.4251,2.5516,0
397,3.1874,5.986,1
398,3.5872,9.6848,1
399,3.3871,4.2521,1
400,4.2539,4.6897,1
401,1.7196,7.2113,1
402,9.3127,0.1948,1
403,4.7823,2.6238,0
404,8.9294,1.3525,1
405,7.456,7.9864,1
406,3.5546,2.7476,0
407,1.8226,6.997,1
408,5.6201,3.7533,0
409,8.3191,7.2,1
410,7.143,3.4277,1
411,4.5972,6.1582,1
412,9.9574,8.5457,1
413,0.0562,5.9924,1
414,7.791,0.859,0
415,6.5188,8.6356,1
416,1.9069,2.1786,0
417,8.0177,6.6422,1
418,4.5282,8.373,1
419,5.1633,6.8987,1
420,6.7644,5.8768,1
421,2.0589,7.078,1
422,0.2592,6.8019,1
423,6.2346,7.1819,1
424,4.277,1.2469,0
425,4.5672,1.015,0
426,2.4476,7.8966,1
427,0.6547,4.9342,1
428,5.889,6.5072,1
429,1.6151,3.7172,1
430,1.9241,8.3693,1
431,4.778,5.8935,1
432,0.1135,3.3434,1
433,7.2369,3.3834,1
434,9.8203,4.5618,1
435,3.7318,2.7854,0
436,6.0279,4.3893,1
437,0.8312,8.1596,1
438,2.6274,7.7386,1
439,7.8806,7.6477,1
440,4.8955,1.3318,0
441,7.6885,8.7754,1
442,5.3796,0.0043,0
443,2.4163,9.7796,1
444,9.9111,3.6418,1
445,2.6433,6.8054,1
446,2.9629,0.8472,0
447,0.0729,9.3156,1
448,4.0726,7.9292,1
449,6.8514,8.5567,1
450,9.5484,4.3069,1
451,6.9662,6.4254,1
452,6.1767,7.924,1
453,7.6927,4.5799,1
454,6.1511,6.7673,1
455,1.5591,6.1375,1
456,4.9402,5.0812,1
457,1.7978,4.8061,1
458,6.3138,5.3747,1
459,6.7509,8.7886,1
460,1.2461,9.8116,1
461,1.2009,9.3087,1
462,9.9148,7.0806,1
463,5.0925,6.0979,1
464,8.5144,3.337,1
465,2.617,4.6901,1
466,5.1026,8.31,1
467,7.1261,2.8663,0
468,1.1988,0.171,0
469,9.8443,6.0932,1
470,8.3536,5.254,1
471,2.85,4.3004,1
472,1.4071,1.2242,0
473,9.2914,4.8383,1
474,2.656,4.7877,1
475,6.3087,8.9622,1
476,3.6476,7.5349,1
477,8.6296,1.6849,1
478,3.8188,6.0137,1
479,3.3074,7.3428,1
480,7.7005,4.6241,1
481,8.5705,5.7181,1
482,4.9047,2.4295,0
483,2.2521,6.0618,1
484,9.6135,7.4767,1
485,7.7682,8.8607,1
486,8.7891,4.7209,1
487,8.1143,7.6918,1
488,0.8231,6.1464,1
489,0.8467,6.0096,1
490,8.8437,4.1797,1
491,9.5209,6.2072,1
492,5.4006,1.9862,0
493,9.5521,0.7979,1
494,7.7449,6.7466,1
495,8.9692,8.0587,1
496,5.4236,4.5043,1
497,7.03,6.9811,1
498,4.4076,7.6796,1
499,6.1662,8.8722,1
500,4.4714,8.8439,1
