Ai_Data:500,1,1,2,1,N,B,V2
No,UpSand,x,y
1,1,4.6559,5.0854
2,1,7.7408,3.1027
3,1,0.5515,4.581
4,1,9.0853,8.0533
5,1,0.9301,7.0119
6,1,5.9914,6.6448
7,1,5.704,7.5337
8,1,9.7034,9.9291
9,1,1.7915,6.5262
10,1,8.5637,9.3325
11,1,2.396,7.8647
12,1,8.7422,7.1775
13,1,3.9897,5.7157
14,0,7.593,0.3389
15,1,8.9727,9.7027
16,1,8.8561,3.1296
17,0,4.4725,0.7843
18,1,1.4239,8.0074
19,1,0.257,2.6893
20,1,5.891,5.1989
21,1,1.226,6.2521
22,1,5.606,4.8325
23,1,2.452,6.4916
24,1,1.4432,7.6748
25,1,7.2391,4.7794
26,1,2.0152,3.0652
27,0,1.1677,0.9382
28,1,3.5424,5.1401
29,1,7.594,2.6162
30,0,6.1001,0.9433
31,0,2.5742,1.7811
32,1,5.4609,6.5139
33,1,9.6804,0.6759
34,1,2.2523,9.5471
35,0,7.6785,2.0826
36,1,2.6466,9.7204
37,0,6.5356,1.235
38,0,7.3033,0.2799
39,1,9.7269,9.2268
40,1,7.7821,6.9807
41,0,3.3093,0.257
42,1,2.1452,2.9732
43,1,4.7324,7.5567
44,0,3.9681,0.7317
45,1,6.8536,5.3419
46,1,1.4769,4.6172
47,1,5.1274,6.6352
48,0,6.0319,0.1687
49,1,8.4376,9.3001
50,1,1.675,8.7167
51,1,6.5403,5.1325
52,1,9.9611,8.4132
53,1,9.5873,9.352
54,1,6.7903,5.271
55,0,7.6984,0.3377
56,0,0.4621,0.3063
57,0,1.0507,1.9518
58,0,2.6683,1.3796
59,0,3.4552,3.2951
60,0,6.644,0.8263
61,0,4.8873,3.2371
62,1,9.1959,2.4729
63,1,0.9425,9.5664
64,1,5.8266,4.1317
65,1,9.6832,5.1029
66,1,0.6723,4.1673
67,1,8.848,5.6172
68,0,5.4748,3.2295
69,1,8.8906,6.9007
70,1,4.3048,4.7458
71,1,9.8174,0.8288
72,0,3.2563,0.2677
73,1,2.2931,2.7631
74,1,6.8302,8.2637
75,1,5.9821,5.1347
76,1,5.226,7.4537
77,1,0.5953,4.5527
78,1,9.2608,8.2786
79,0,7.611,2.2826
80,1,2.134,8.597
81,0,3.1377,0.4365
82,1,9.7557,2.2062
83,1,4.8885,8.7211
84,0,3.8594,1.2772
85,1,8.7362,9.085
86,1,4.6163,6.3009
87,1,2.8162,8.1111
88,1,1.9693,9.6371
89,1,9.6476,9.4963
90,0,7.4081,1.2609
91,1,9.2407,1.4629
92,1,0.4015,7.8004
93,1,8.6591,6.4457
94,1,6.2065,8.4588
95,0,6.0059,2.8978
96,1,4.2739,3.915
97,1,9.3028,1.5596
98,1,8.9677,6.7971
99,0,3.2299,1.0346
100,1,6.8179,4.8209
101,1,9.1962,0.0149
102,0,7.0252,0.1889
103,1,6.7081,6.0016
104,0,4.4366,1.3429
105,0,6.5066,2.863
106,1,6.7104,5.663
107,1,8.4398,2.0734
108,1,9.8889,4.2087
109,1,9.5411,4.9792
110,1,9.0991,2.0943
111,1,0.281,5.9321
112,0,3.5979,0.5923
113,1,9.4615,8.6369
114,1,7.8825,9.5599
115,0,0.7217,0.5546
116,0,3.0843,1.2811
117,0,6.1238,2.7068
