Ai_Data:100,1,1,2,-1,N,V2,B
No,x,y,isAbove
1,0.2421,0.3119,1
2,0.3336,0.2664,0
3,0.6094,0.7488,1
4,0.9639,0.8693,1
5,0.9891,0.0137,0
6,0.8318,0.4758,0
7,0.1047,0.7537,1
8,0.068,0.9656,1
9,0.2374,0.5329,1
10,0.0329,0.5894,1
11,0.6348,0.3131,0
12,0.907,0.8596,1
13,0.6546,0.6112,1
14,0.6659,0.3607,0
15,0.5033,0.63,1
16,0.9228,0.9004,1
17,0.6795,0.9102,1
18,0.3737,0.6734,1
19,0.4796,0.299,0
20,0.8297,0.3597,0
21,0.1771,0.2834,1
22,0.0702,0.3293,1
23,0.7343,0.9845,1
24,0.0025,0.3755,1
25,0.1548,0.36,1
26,0.8602,0.6477,0
27,0.8378,0.411,0
28,0.4278,0.7073,1
29,0.5421,0.4414,0
30,0.5219,0.877,1
31,0.8203,0.6652,0
32,0.2179,0.3053,1
33,0.032,0.71,1
34,0.552,0.42,0
35,0.2952,0.812,1
36,0.6868,0.6904,1
37,0.9858,0.7511,0
38,0.7726,0.8708,1
39,0.6444,0.8217,1
40,0.9889,0.1482,0
41,0.3994,0.3864,0
42,0.5018,0.8641,1
43,0.2665,0.8103,1
44,0.3202,0.7345,1
45,0.933,0.8209,1
46,0.2857,0.7377,1
47,0.8874,0.5926,0
48,0.6817,0.0938,0
49,0.0026,0.1015,1
50,0.1933,0.0068,0
51,0.9332,0.5471,0
52,0.206,0.0903,0
53,0.9346,0.8889,1
54,0.6742,0.6514,1
55,0.9656,0.7938,0
56,0.0459,0.251,1
57,0.182,0.5413,1
58,0.9781,0.2157,0
59,0.1806,0.6843,1
60,0.8253,0.0214,0
61,0.6046,0.5108,0
62,0.1378,0.7204,1
63,0.9682,0.6049,0
64,0.6529,0.8347,1
65,0.8101,0.0528,0
66,0.5135,0.387,0
67,0.5359,0.0916,0
68,0.6987,0.9915,1
69,0.5584,0.2471,0
70,0.9008,0.1753,0
71,0.5944,0.2577,0
72,0.3325,0.3541,1
73,0.229,0.3318,1
74,0.2,0.1325,0
75,0.1053,0.5343,1
76,0.8248,0.8518,1
77,0.3497,0.3505,1
78,0.6493,0.5561,0
79,0.0918,0.723,1
80,0.611,0.7997,1
81,0.1885,0.1102,0
82,0.6188,0.9675,1
83,0.5116,0.3608,0
84,0.1169,0.029,0
85,0.4081,0.4538,1
86,0.9689,0.8999,1
87,0.1928,0.3984,1
88,0.1483,0.831,1
89,0.7826,0.8434,1
90,0.9693,0.4978,0
91,0.8316,0.1899,0
92,0.8411,0.7123,0
93,0.9767,0.2571,0
94,0.782,0.9286,1
95,0.053,0.7958,1
96,0.1758,0.9638,1
97,0.3878,0.398,1
98,0.5063,0.6078,1
99,0.5338,0.5983,1
100,0.0533,0.0412,0
