Ai_Data:100,1,1,2,1,N,B,V2
No,isAbove,x,y
1,0,0.5846,0.2404
2,1,0.0798,0.1268
3,1,0.1065,0.4552
4,0,0.335,0.0846
5,1,0.1862,0.7173
6,1,0.0079,0.4918
7,0,0.5842,0.2542
8,1,0.1146,0.5678
9,0,0.8396,0.7226
10,0,0.491,0.0089
11,0,0.7701,0.6447
12,1,0.6658,0.793
13,0,0.6842,0.4057
14,1,0.5323,0.9738
15,1,0.5388,0.9818
16,1,0.6767,0.7611
17,1,0.5284,0.8214
18,0,0.4732,0.4343
19,0,0.8387,0.5523
20,1,0.3053,0.8848
21,0,0.55,0.4351
22,1,0.522,0.837
23,0,0.9242,0.7363
24,0,0.9896,0.0407
25,0,0.5601,0.4415
26,1,0.3463,0.9862
27,1,0.1511,0.9822
28,1,0.3215,0.935
29,1,0.8297,0.8959
30,0,0.727,0.3157
31,1,0.3336,0.5938
32,0,0.9813,0.7808
33,1,0.4776,0.6565
34,1,0.2749,0.4719
35,0,0.6645,0.3296
36,0,0.7367,0.2889
37,0,0.4222,0.1414
38,1,0.2106,0.2115
39,1,0.1974,0.8152
40,1,0.5026,0.9699
41,1,0.8948,0.8963
42,1,0.2057,0.6095
43,0,0.8918,0.7678
44,1,0.4647,0.7499
45,1,0.5162,0.9753
46,1,0.2874,0.5812
47,0,0.2203,0.0334
48,1,0.2646,0.8981
49,0,0.9349,0.1348
50,0,0.8052,0.7158
51,1,0.3389,0.4361
52,1,0.2483,0.2669
53,1,0.0283,0.8388
54,0,0.4603,0.4235
55,0,0.8189,0.4407
56,1,0.7764,0.8449
57,0,0.6668,0.0774
58,1,0.3971,0.3938
59,0,0.9423,0.6269
60,1,0.5972,0.6218
61,1,0.0397,0.9981
62,1,0.358,0.3674
63,1,0.5591,0.9766
64,1,0.2823,0.7665
65,0,0.5437,0.3484
66,0,0.8999,0.22
67,1,0.507,0.9736
68,0,0.7248,0.117
69,1,0.2344,0.7324
70,0,0.6731,0.359
71,0,0.594,0.5153
72,1,0.6996,0.9834
73,0,0.8398,0.6786
74,0,0.7641,0.4322
75,1,0.1433,0.6379
76,0,0.4865,0.263
77,1,0.3365,0.5211
78,1,0.0989,0.3495
79,0,0.1009,0.0529
80,1,0.5558,0.8679
81,1,0.0882,0.0927
82,0,0.9103,0.6167
83,0,0.705,0.4972
84,1,0.3165,0.4657
85,0,0.5473,0.231
86,1,0.2671,0.9823
87,1,0.719,0.8951
88,0,0.9264,0.5315
89,0,0.5182,0.0968
90,0,0.666,0.396
91,1,0.2262,0.3325
92,1,0.1657,0.7139
93,0,0.9835,0.3045
94,0,0.6856,0.2807
95,1,0.9871,0.8446
96,1,0.3721,0.5124
97,1,0.493,0.866
98,0,0.7036,0.1162
99,0,0.3594,0.0152
100,0,0.4391,0.2673
