Ai_Data:100,1,1,2,-1,N,V2,B
No,x,y,isAbove
1,0.8141,0.0894,0
2,0.0968,0.9023,0
3,0.0889,0.6567,0
4,0.1099,0.9008,0
5,0.9972,0.0227,0
6,0.2892,0.6711,0
7,0.8569,0.5603,0
8,0.1637,0.9317,0
9,0.38,0.1787,0
10,0.776,0.1296,0
11,0.7227,0.012,0
12,0.3132,0.5322,1
13,0.6304,0.5816,0
14,0.1058,0.1592,0
15,0.7866,0.979,0
16,0.7295,0.2279,0
17,0.7256,0.8661,0
18,0.193,0.0326,0
19,0.9181,0.3393,0
20,0.4484,0.4308,1
21,0.8883,0.9555,0
22,0.7063,0.3575,0
23,0.4735,0.4653,1
24,0.2908,0.0393,0
25,0.5841,0.0517,0
26,0.02,0.8319,0
27,0.0745,0.1202,0
28,0.3443,0.8498,0
29,0.5827,0.9377,0
30,0.728,0.8131,0
31,0.4503,0.6671,0
32,0.0089,0.7815,0
33,0.0802,0.5935,0
34,0.7194,0.6981,0
35,0.3421,0.5907,1
36,0.604,0.914,0
37,0.8856,0.1231,0
38,0.8175,0.1172,0
39,0.4695,0.3309,1
40,0.5383,0.336,1
41,0.6678,0.9951,0
42,0.9809,0.9396,0
43,0.56,0.4295,1
44,0.0425,0.8081,0
45,0.267,0.5957,1
46,0.0673,0.0923,0
47,0.4407,0.9893,0
48,0.4639,0.2373,1
49,0.0672,0.0932,0
50,0.1594,0.1901,0
51,0.1928,0.4452,0
52,0.1242,0.9638,0
53,0.4322,0.6165,0
54,0.4538,0.9799,0
55,0.3683,0.6486,0
56,0.7391,0.861,0
57,0.2031,0.7449,0
58,0.7122,0.5958,0
59,0.269,0.2637,1
60,0.4007,0.2474,1
61,0.2594,0.3107,1
62,0.2748,0.628,0
63,0.2888,0.4763,1
64,0.1227,0.6111,0
65,0.1416,0.5151,0
66,0.6368,0.0032,0
67,0.3177,0.0157,0
68,0.9476,0.1472,0
69,0.737,0.3552,0
70,0.5868,0.6784,0
71,0.2087,0.4883,1
72,0.6167,0.1071,0
73,0.0279,0.3646,0
74,0.9081,0.1465,0
75,0.3069,0.0243,0
76,0.8026,0.961,0
77,0.9015,0.6662,0
78,0.6425,0.7546,0
79,0.0415,0.2368,0
80,0.904,0.3721,0
81,0.0238,0.337,0
82,0.9162,0.835,0
83,0.5801,0.4928,1
84,0.4029,0.9839,0
85,0.7746,0.0866,0
86,0.3286,0.6487,0
87,0.5454,0.4976,1
88,0.7853,0.0198,0
89,0.2455,0.2465,1
90,0.9036,0.1408,0
91,0.7946,0.1914,0
92,0.0226,0.6953,0
93,0.3007,0.0736,0
94,0.6029,0.5095,0
95,0.261,0.9577,0
96,0.6172,0.4425,0
97,0.7003,0.365,0
98,0.4028,0.5862,1
99,0.8586,0.1455,0
100,0.21,0.947,0
