Ai_Data:100,1,1,2,1,N,B,V2
No,isAbove,x,y
1,0,0.6873,0.7199
2,0,0.0634,0.2671
3,0,0.8764,0.9356
4,0,0.8298,0.214
5,0,0.5609,0.9772
6,1,0.4827,0.4537
7,1,0.4011,0.2094
8,0,0.9152,0.5573
9,1,0.5286,0.4209
10,0,0.4752,0.0292
11,0,0.0422,0.7404
12,0,0.7288,0.0625
13,1,0.4732,0.4004
14,1,0.4669,0.5106
15,0,0.3296,0.8959
16,0,0.6899,0.7464
17,0,0.0792,0.337
18,1,0.5538,0.3304
19,0,0.1802,0.0392
20,0,0.5125,0.6612
21,0,0.0188,0.6511
22,0,0.1413,0.0288
23,0,0.8644,0.3642
24,0,0.375,0.7433
25,0,0.1994,0.003
26,0,0.1452,0.2604
27,0,0.0355,0.0418
28,0,0.6523,0.476
29,0,0.0742,0.845
30,0,0.7549,0.612
31,0,0.8214,0.6783
32,1,0.2116,0.3639
33,0,0.0156,0.2869
34,0,0.7605,0.2339
35,0,0.9791,0.0879
36,1,0.269,0.2199
37,0,0.7507,0.274
38,1,0.4403,0.283
39,0,0.1112,0.3756
40,0,0.8095,0.2651
41,0,0.8589,0.077
42,0,0.0133,0.1786
43,0,0.9456,0.3347
44,0,0.57,0.0405
45,0,0.3329,0.0947
46,0,0.6515,0.671
47,0,0.6768,0.1548
48,0,0.5836,0.1319
49,0,0.2015,0.9696
50,0,0.0573,0.7222
51,1,0.3706,0.4442
52,0,0.2874,0.7071
53,0,0.2154,0.0152
54,0,0.6012,0.1992
55,1,0.4306,0.5632
56,0,0.1923,0.8653
57,0,0.595,0.9565
58,0,0.0237,0.3801
59,0,0.128,0.2709
60,0,0.1153,0.7991
61,0,0.841,0.9829
62,0,0.6985,0.2721
63,0,0.1926,0.6841
64,0,0.9746,0.7695
65,0,0.6074,0.1128
66,0,0.4588,0.7428
67,1,0.4678,0.549
68,0,0.1469,0.8926
69,0,0.6374,0.872
70,0,0.9862,0.4633
71,0,0.6271,0.8248
72,0,0.3875,0.7395
73,0,0.761,0.2837
74,0,0.7614,0.6639
75,0,0.9535,0.5803
76,0,0.3126,0.7484
77,0,0.9557,0.171
78,0,0.5784,0.7027
79,0,0.1811,0.2032
80,1,0.444,0.4489
81,0,0.4696,0.7726
82,0,0.6203,0.4466
83,0,0.3996,0.9212
84,0,0.817,0.4994
85,0,0.0069,0.6701
86,0,0.098,0.4643
87,0,0.0209,0.6363
88,0,0.15,0.5367
89,0,0.976,0.0285
90,0,0.4518,0.0323
91,0,0.8089,0.0708
92,0,0.5768,0.838
93,0,0.8001,0.1488
94,0,0.1143,0.9534
95,0,0.9704,0.227
96,0,0.9421,0.7955
97,1,0.2899,0.3333
98,0,0.8373,0.1874
99,0,0.3103,0.1579
100,0,0.658,0.2037
