Ai_Data:300,1,1,2,-1,N,V2,B
No,x,y,isAbove
1,0.3567,0.1295,0
2,0.2559,0.3545,0
3,0.1974,0.4994,0
4,0.3937,0.7632,0
5,0.2412,0.7266,0
6,0.605,0.3677,1
7,0.8574,0.0493,0
8,0.7879,0.942,0
9,0.086,0.2651,0
10,0.6729,0.5988,1
11,0.5387,0.4266,1
12,0.237,0.5457,0
13,0.6186,0.1231,0
14,0.0518,0.5143,0
15,0.1026,0.5843,0
16,0.7382,0.7216,0
17,0.3863,0.0894,0
18,0.9497,0.473,0
19,0.9361,0.4163,0
20,0.5557,0.7664,0
21,0.7463,0.3149,1
22,0.9467,0.5061,0
23,0.8483,0.2399,0
24,0.6336,0.1872,0
25,0.1681,0.8259,0
26,0.563,0.1583,0
27,0.2795,0.8408,0
28,0.8199,0.8236,0
29,0.8495,0.6005,0
30,0.6401,0.3922,1
31,0.8228,0.0803,0
32,0.9039,0.0344,0
33,0.6434,0.2069,0
34,0.5337,0.5554,1
35,0.0578,0.0654,0
36,0.4658,0.9446,0
37,0.299,0.0053,0
38,0.1201,0.4097,0
39,0.6971,0.8813,0
40,0.5385,0.7566,1
41,0.0135,0.911,0
42,0.614,0.2226,0
43,0.0456,0.8861,0
44,0.0827,0.1231,0
45,0.2985,0.7204,0
46,0.2,0.9219,0
47,0.7717,0.5684,0
48,0.2736,0.5826,0
49,0.1566,0.0004,0
50,0.4752,0.3125,1
51,0.9915,0.9671,0
52,0.6009,0.0573,0
53,0.5724,0.5389,1
54,0.7057,0.3556,1
55,0.6649,0.6539,0
56,0.7803,0.4139,1
57,0.3149,0.3589,0
58,0.8947,0.5103,0
59,0.305,0.2782,0
60,0.4789,0.0866,0
61,0.053,0.2943,0
62,0.6634,0.1385,0
63,0.9995,0.6745,0
64,0.8515,0.7626,0
65,0.7827,0.1289,0
66,0.9443,0.9708,0
67,0.7445,0.5324,1
68,0.891,0.1299,0
69,0.568,0.2974,0
70,0.487,0.6367,1
71,0.091,0.6289,0
72,0.5899,0.6883,1
73,0.5932,0.1491,0
74,0.1769,0.2559,0
75,0.1041,0.6235,0
76,0.915,0.6223,0
77,0.5283,0.7742,0
78,0.1656,0.0925,0
79,0.6345,0.4152,1
80,0.595,0.7363,0
81,0.2066,0.3921,0
82,0.8145,0.2723,0
83,0.902,0.0631,0
84,0.7194,0.4532,1
85,0.6151,0.3031,1
86,0.4508,0.5615,1
87,0.3927,0.2682,0
88,0.1511,0.8745,0
89,0.1973,0.4017,0
90,0.9355,0.209,0
91,0.0672,0.4188,0
92,0.751,0.9037,0
93,0.4679,0.2527,0
94,0.0447,0.8503,0
95,0.883,0.1974,0
96,0.4146,0.4314,1
97,0.9414,0.7304,0
98,0.6624,0.4747,1
99,0.6276,0.7512,0
100,0.9223,0.5838,0
101,0.3715,0.219,0
102,0.7869,0.4541,1
103,0.0654,0.4241,0
104,0.6012,0.033,0
105,0.3044,0.3771,0
106,0.3488,0.6352,0
107,0.3969,0.0517,0
108,0.7995,0.3702,1
109,0.9437,0.4631,0
110,0.8422,0.4938,0
111,0.0297,0.8189,0
112,0.1739,0.5411,0
113,0.3283,0.2246,0
114,0.7676,0.3513,1
115,0.6628,0.6797,0
116,0.7892,0.3438,1
117,0.8228,0.3487,1
118,0.8881,0.6541,0
119,0.6829,0.3396,1
120,0.0302,0.9899,0
121,0.9197,0.4767,0
122,0.2978,0.3157,0
123,0.8738,0.8005,0
124,0.3266,0.7269,0
125,0.3552,0.7794,0
126,0.3025,0.1205,0
127,0.4372,0.4681,1
128,0.6898,0.5242,1
129,0.5366,0.0963,0
130,0.1128,0.1911,0
131,0.3272,0.8222,0
132,0.0626,0.821,0
133,0.2828,0.6364,0
134,0.3507,0.517,0
135,0.8969,0.6485,0
136,0.4816,0.3367,1
137,0.8766,0.2423,0
138,0.3671,0.5472,0
139,0.8566,0.8339,0
140,0.0515,0.9442,0
141,0.4304,0.216,0
142,0.3733,0.8436,0
143,0.5463,0.724,1
144,0.7321,0.6053,0
145,0.5638,0.7077,1
146,0.3841,0.7986,0
147,0.5189,0.0427,0
148,0.9382,0.3687,0
149,0.3935,0.6669,0
150,0.9737,0.4137,0
151,0.4371,0.375,1
152,0.9518,0.4308,0
153,0.8366,0.3564,1
154,0.8439,0.142,0
155,0.2823,0.2114,0
156,0.1463,0.2584,0
157,0.2254,0.4281,0
158,0.2053,0.7919,0
159,0.8759,0.5561,0
160,0.0238,0.7744,0
161,0.2353,0.5616,0
162,0.9704,0.494,0
163,0.7136,0.0961,0
164,0.0649,0.6061,0
165,0.125,0.6658,0
166,0.7595,0.7309,0
167,0.1116,0.934,0
168,0.3904,0.3952,1
169,0.2894,0.6422,0
170,0.719,0.4283,1
171,0.6658,0.8832,0
172,0.2364,0.1713,0
173,0.1243,0.7114,0
174,0.1525,0.1097,0
175,0.0231,0.3247,0
176,0.2411,0.7874,0
177,0.2049,0.3014,0
178,0.964,0.1132,0
179,0.9655,0.6276,0
180,0.5444,0.4177,1
181,0.7756,0.499,1
182,0.9135,0.8706,0
183,0.8065,0.1311,0
184,0.7001,0.1183,0
