Ai_Data:300,1,1,2,1,N,B,V2
No,isAbove,x,y
1,1,0.4197,0.4117
2,0,0.2616,0.6507
3,0,0.9995,0.5261
4,0,0.157,0.9723
5,0,0.9571,0.7002
6,0,0.1562,0.6027
7,0,0.2382,0.5324
8,0,0.3505,0.2463
9,0,0.3495,0.2257
10,0,0.8574,0.756
11,0,0.6368,0.6696
12,1,0.6696,0.5694
13,0,0.406,0.7271
14,0,0.526,0.2483
15,0,0.5547,0.0848
16,0,0.5987,0.104
17,0,0.6397,0.2753
18,0,0.0457,0.145
19,1,0.5505,0.7329
20,0,0.7232,0.8295
21,0,0.2109,0.99
22,1,0.6072,0.3585
23,0,0.9814,0.3748
24,1,0.7194,0.4932
25,0,0.6829,0.8193
26,0,0.6047,0.1309
27,0,0.4153,0.6373
28,0,0.6577,0.1244
29,1,0.5908,0.381
30,0,0.8446,0.0788
31,0,0.8557,0.1367
32,0,0.6174,0.1103
33,0,0.8217,0.8674
34,0,0.0674,0.801
35,0,0.7782,0.6641
36,0,0.6149,0.8349
37,0,0.8086,0.0119
38,0,0.7815,0.0481
39,0,0.9809,0.4336
40,0,0.8433,0.8797
41,0,0.5361,0.118
42,1,0.4095,0.455
43,0,0.2457,0.3927
44,0,0.2258,0.788
45,0,0.3588,0.1516
46,0,0.7475,0.8358
47,0,0.8136,0.5954
48,0,0.2805,0.3905
49,0,0.6319,0.8951
50,0,0.7363,0.0415
51,0,0.6713,0.6378
52,0,0.2983,0.6945
53,0,0.1548,0.164
54,1,0.5457,0.3795
55,0,0.6512,0.156
56,1,0.833,0.3345
57,0,0.427,0.0864
58,0,0.9706,0.5964
59,1,0.3432,0.3868
60,1,0.5043,0.5864
61,1,0.7164,0.445
62,0,0.1404,0.4225
63,0,0.8194,0.7909
64,0,0.1128,0.9435
65,0,0.9399,0.0807
66,1,0.5401,0.6798
67,0,0.1715,0.7378
68,0,0.0678,0.2548
69,1,0.3573,0.3603
70,0,0.3445,0.9512
71,0,0.8598,0.2547
72,0,0.1274,0.4268
73,0,0.0767,0.705
74,0,0.0647,0.8137
75,0,0.876,0.8364
76,0,0.4516,0.6867
77,0,0.3728,0.1829
78,1,0.507,0.6328
79,1,0.7173,0.3187
80,0,0.9672,0.4088
81,0,0.8184,0.1625
82,0,0.0444,0.9198
83,0,0.1737,0.8138
84,0,0.0457,0.5031
85,0,0.2271,0.0304
86,0,0.2007,0.2524
87,0,0.9275,0.7082
88,1,0.4934,0.3664
89,0,0.4092,0.9698
90,0,0.5466,0.7563
91,0,0.9658,0.7237
92,1,0.8541,0.3962
93,0,0.7406,0.8027
94,0,0.9092,0.151
95,0,0.8045,0.0401
96,0,0.0248,0.0666
97,0,0.5431,0.8943
98,1,0.8933,0.3562
99,1,0.5259,0.4807
100,0,0.1827,0.5671
101,0,0.2781,0.1195
102,0,0.7152,0.6627
103,0,0.6281,0.7605
104,0,0.0261,0.0038
105,0,0.552,0.8922
106,0,0.3493,0.4641
107,0,0.687,0.7967
108,0,0.3265,0.1631
109,0,0.9354,0.2575
110,0,0.9871,0.5522
111,0,0.8314,0.0819
112,0,0.7947,0.8376
113,0,0.5929,0.0455
114,0,0.8088,0.9742
115,0,0.0293,0.1193
116,0,0.2575,0.7153
117,0,0.7275,0.0884
118,0,0.0672,0.4525
119,0,0.1884,0.9212
120,0,0.1487,0.8301
121,0,0.8355,0.4996
122,1,0.4839,0.3676
123,0,0.0674,0.5689
124,0,0.3116,0.5761
125,0,0.7758,0.0159
126,1,0.9587,0.3022
127,0,0.0014,0.8365
128,0,0.1141,0.2834
129,1,0.6498,0.4011
130,0,0.5911,0.1497
131,0,0.4382,0.8761
132,1,0.8767,0.3567
133,0,0.4956,0.9135
134,0,0.0138,0.783
135,0,0.2885,0.9655
136,0,0.6126,0.977
137,0,0.7933,0.8348
138,0,0.0396,0.2879
139,0,0.0879,0.3195
140,0,0.0801,0.3646
141,0,0.7837,0.062
142,0,0.6204,0.7573
143,0,0.9712,0.9621
144,0,0.1486,0.6058
145,0,0.5989,0.7617
146,0,0.1184,0.6491
147,1,0.4599,0.6629
148,0,0.4755,0.0411
149,0,0.2058,0.0869
150,0,0.8904,0.7057
151,0,0.0616,0.9345
152,0,0.4972,0.2168
153,0,0.1621,0.9562
154,0,0.1839,0.4369
155,0,0.6822,0.0932
156,1,0.7311,0.3986
157,0,0.1841,0.8959
158,0,0.3465,0.1644
159,1,0.8505,0.3823
160,0,0.3915,0.6475
161,0,0.5285,0.9437
162,0,0.3472,0.6295
163,0,0.755,0.1574
164,0,0.3168,0.4586
165,0,0.1847,0.6163
166,0,0.6104,0.1629
167,0,0.0941,0.1345
168,0,0.2101,0.9626
169,0,0.8816,0.938
170,0,0.1621,0.417
171,0,0.7377,0.7005
172,0,0.1918,0.6887
173,0,0.9052,0.5329
174,0,0.0896,0.6611
175,0,0.2021,0.2865
176,0,0.6646,0.8919
177,0,0.7299,0.779
178,0,0.3121,0.6387
179,0,0.9371,0.8028
180,1,0.4919,0.4404
181,0,0.4619,0.025
182,0,0.6654,0.9874
183,0,0.4252,0.1378
184,0,0.4871,0.2678
185,0,0.0948,0.8699
186,0,0.298,0.2212
187,0,0.0944,0.7175
188,0,0.2173,0.3862
189,1,0.578,0.5043
190,0,0.3802,0.2756
191,0,0.0422,0.1296
192,0,0.1177,0.4627
193,0,0.6977,0.115
194,0,0.1256,0.6151
195,0,0.573,0.8081
196,0,0.9199,0.9578
197,1,0.7703,0.352
198,0,0.1251,0.9028
199,0,0.5477,0.7821
200,0,0.392,0.8267
201,0,0.1479,0.8572
202,0,0.9932,0.2331
203,1,0.5457,0.4858
204,0,0.391,0.7829
205,0,0.537,0.8567
206,0,0.3272,0.9267
207,0,0.8397,0.6321
208,0,0.2286,0.1246
209,0,0.1296,0.815
210,0,0.9787,0.8875
211,0,0.1826,0.1476
212,0,0.3485,0.1231
213,0,0.5456,0.1517
214,1,0.6373,0.5232
215,0,0.4071,0.1707
216,0,0.3167,0.9741
217,0,0.5899,0.0208
218,0,0.7275,0.2272
219,0,0.8381,0.1128
220,0,0.1245,0.3113
221,0,0.8197,0.1526
222,1,0.6174,0.4238
223,1,0.517,0.7804
224,0,0.8035,0.2827
225,0,0.9261,0.7578
226,0,0.1401,0.1757
227,0,0.2389,0.5615
228,0,0.3531,0.1892
229,0,0.927,0.4945
230,1,0.428,0.3534
231,0,0.4023,0.6728
232,0,0.9814,0.6856
233,0,0.1732,0.4975
234,0,0.0591,0.3683
235,1,0.6711,0.4713
236,1,0.6574,0.5446
237,0,0.1667,0.4699
238,1,0.5159,0.4671
239,0,0.4493,0.8263
240,0,0.9763,0.9828
241,0,0.1913,0.8377
242,0,0.957,0.5898
243,0,0.1681,0.5555
244,0,0.3374,0.5494
245,0,0.7567,0.9661
246,0,0.3013,0.7887
