Ai_Data:300,1,1,2,-1,N,V2,C1.3
No,x,y,Y3Area
1,0.0704,0.0047,1
2,0.354,0.898,2
3,0.9041,0.0998,0
4,0.8332,0.1648,0
5,0.8449,0.102,0
6,0.6593,0.9859,2
7,0.4836,0.3665,1
8,0.3627,0.5408,1
9,0.1079,0.0335,1
10,0.9051,0.6861,0
11,0.9892,0.1506,0
12,0.7249,0.3688,0
13,0.3855,0.3731,1
14,0.6779,0.5167,0
15,0.9313,0.6028,0
16,0.6701,0.3906,0
17,0.3376,0.1754,1
18,0.03,0.6338,1
19,0.5735,0.4545,0
20,0.9168,0.5008,0
21,0.9508,0.9422,0
22,0.3122,0.002,1
23,0.7833,0.2664,0
24,0.3915,0.9479,2
25,0.5446,0.6521,2
26,0.3214,0.1264,1
27,0.6932,0.739,2
28,0.7821,0.0986,0
29,0.5897,0.8519,2
30,0.7589,0.3474,0
31,0.176,0.0855,1
32,0.4025,0.7629,2
33,0.339,0.8113,2
34,0.002,0.6987,1
35,0.1315,0.4674,1
36,0.3707,0.084,1
37,0.2705,0.7394,2
38,0.1883,0.3264,1
39,0.5864,0.4925,0
40,0.0991,0.9883,2
41,0.3437,0.0641,1
42,0.6117,0.4723,0
43,0.6062,0.7756,2
44,0.097,0.2,1
45,0.0676,0.774,1
46,0.4319,0.0182,1
47,0.0199,0.5613,1
48,0.0857,0.8168,1
49,0.3817,0.8225,2
50,0.6953,0.5934,0
51,0.9572,0.4099,0
52,0.4268,0.4485,1
53,0.3494,0.5949,1
54,0.6697,0.2451,0
55,0.1979,0.9451,2
56,0.8619,0.9186,2
57,0.6638,0.4372,0
58,0.4901,0.67,2
59,0.334,0.6646,1
60,0.5655,0.5275,0
61,0.9659,0.2485,0
62,0.1181,0.0102,1
63,0.7447,0.8134,2
64,0.5103,0.8791,2
65,0.9758,0.1347,0
66,0.6132,0.2096,0
67,0.3831,0.3191,1
68,0.145,0.269,1
69,0.4358,0.1259,1
70,0.7169,0.9347,2
71,0.3759,0.79,2
72,0.3842,0.6361,2
73,0.8665,0.955,2
74,0.7491,0.0564,0
75,0.4356,0.5758,2
76,0.9116,0.0761,0
77,0.1346,0.9003,2
78,0.817,0.6954,0
79,0.085,0.8903,1
80,0.7948,0.9176,2
81,0.8346,0.6892,0
82,0.3371,0.8293,2
83,0.6946,0.9974,2
84,0.4133,0.3608,1
85,0.4814,0.465,1
86,0.8682,0.4625,0
87,0.3317,0.4588,1
88,0.6988,0.6789,0
89,0.5166,0.8166,2
90,0.259,0.3588,1
91,0.423,0.4446,1
92,0.6875,0.9814,2
93,0.1268,0.87,1
94,0.1062,0.3365,1
95,0.2288,0.1065,1
96,0.3858,0.5406,1
97,0.8744,0.4428,0
98,0.5264,0.1252,0
99,0.1305,0.0132,1
100,0.948,0.6799,0
101,0.1406,0.2605,1
102,0.2403,0.7863,2
103,0.7299,0.6486,0
104,0.1662,0.2255,1
105,0.3822,0.2366,1
106,0.9685,0.6953,0
107,0.7615,0.9721,2
108,0.2733,0.5197,1
109,0.1988,0.8137,2
110,0.1411,0.0865,1
111,0.817,0.0419,0
112,0.0582,0.9969,2
113,0.2147,0.368,1
114,0.919,0.1607,0
115,0.8825,0.7003,0
116,0.2934,0.3228,1
117,0.7715,0.6765,0
118,0.5278,0.7548,2
119,0.6879,0.3222,0
120,0.4755,0.0952,1
121,0.4342,0.4455,1
122,0.9043,0.5745,0
123,0.8694,0.625,0
124,0.8775,0.1077,0
125,0.31,0.9031,2
126,0.6556,0.9894,2
127,0.9437,0.542,0
128,0.9148,0.1761,0
129,0.1782,0.4532,1
130,0.3305,0.3897,1
131,0.0954,0.1583,1
132,0.8218,0.5267,0
133,0.4347,0.3924,1
134,0.0035,0.1069,1
135,0.7764,0.708,0
136,0.6434,0.7477,2
137,0.8469,0.6891,0
138,0.1713,0.8958,2
139,0.1182,0.6355,1
140,0.5366,0.3031,0
141,0.1226,0.8255,1
142,0.9616,0.9795,2
143,0.1562,0.7182,1
144,0.3866,0.6083,1
145,0.2907,0.702,1
146,0.655,0.6569,2
147,0.8674,0.2521,0
148,0.734,0.6693,0
149,0.8945,0.6034,0
150,0.5185,0.4726,0
151,0.0193,0.2999,1
152,0.0151,0.2836,1
153,0.9976,0.2291,0
154,0.9524,0.9491,0
155,0.8324,0.0015,0
