Ai_Data:300,1,1,2,1,N,C1.3,V2
No,Y3Area,x,y
1,0,0.6032,0.0569
2,2,0.1799,0.967
3,0,0.5229,0.4454
4,1,0.2227,0.4413
5,0,0.9787,0.0648
6,0,0.6271,0.0226
7,0,0.7952,0.2601
8,0,0.9752,0.658
9,2,0.6385,0.759
10,2,0.641,0.6484
11,0,0.9143,0.8497
12,1,0.1188,0.4768
13,0,0.8502,0.4824
14,0,0.9653,0.7091
15,0,0.9353,0.1522
16,0,0.6536,0.4497
17,1,0.1377,0.6738
18,0,0.8848,0.0881
19,0,0.5715,0.2078
20,1,0.1548,0.3188
21,0,0.5375,0.1466
22,2,0.6223,0.6708
23,1,0.1062,0.7203
24,0,0.5762,0.0298
25,0,0.6673,0.4316
26,1,0.0474,0.8886
27,1,0.1173,0.6795
28,1,0.3646,0.3084
29,0,0.606,0.1804
30,2,0.6978,0.8272
31,1,0.0148,0.0469
32,0,0.8886,0.7987
33,2,0.588,0.6327
34,2,0.1136,0.8958
35,1,0.39,0.5038
36,1,0.1777,0.7644
37,0,0.5085,0.1453
38,1,0.4836,0.0599
39,1,0.1778,0.262
40,0,0.9758,0.3528
41,2,0.242,0.7842
42,2,0.6043,0.6361
43,2,0.6313,0.9363
44,1,0.1062,0.4205
45,2,0.7731,0.9787
46,1,0.1515,0.6497
47,1,0.1089,0.481
48,2,0.1495,0.9225
49,1,0.1401,0.2382
50,2,0.2641,0.7542
51,0,0.6739,0.1868
52,2,0.4333,0.863
53,2,0.1907,0.9316
54,2,0.4407,0.7144
55,2,0.5065,0.7423
56,2,0.3356,0.8094
57,1,0.15,0.129
58,0,0.7486,0.4504
59,1,0.1286,0.3565
60,2,0.8996,0.9682
61,1,0.0022,0.506
62,1,0.3452,0.6461
63,2,0.4408,0.9445
64,2,0.7618,0.824
65,0,0.6831,0.3106
66,2,0.3121,0.9182
67,0,0.5721,0.3758
68,1,0.3917,0.3401
69,1,0.0864,0.3923
70,0,0.8015,0.549
71,2,0.5418,0.7842
72,2,0.6451,0.7228
73,0,0.8822,0.2941
74,2,0.4952,0.7816
75,2,0.7344,0.9417
76,2,0.6289,0.7474
77,1,0.1472,0.4068
78,2,0.376,0.6766
79,1,0.1865,0.6933
80,0,0.8792,0.6465
81,0,0.809,0.1856
82,0,0.8119,0.5329
83,0,0.6865,0.4554
84,0,0.8512,0.5617
85,0,0.9012,0.4294
86,0,0.9523,0.8694
87,2,0.6865,0.7764
88,0,0.7221,0.5568
89,0,0.632,0.6231
90,2,0.4374,0.9702
91,1,0.0274,0.9595
92,0,0.5064,0.1944
93,1,0.2652,0.3411
94,2,0.4191,0.9922
95,2,0.4754,0.7486
96,2,0.4836,0.6742
97,0,0.8133,0.7146
98,0,0.8956,0.6346
99,1,0.0721,0.0759
100,0,0.9381,0.5346
101,2,0.5436,0.961
102,1,0.3573,0.3717
103,2,0.2964,0.8729
104,2,0.2125,0.9157
105,2,0.2965,0.9753
106,0,0.7464,0.2477
107,1,0.0391,0.943
108,1,0.0726,0.3862
109,2,0.6162,0.9846
110,0,0.7278,0.2342
111,2,0.3898,0.8975
112,1,0.3848,0.3318
113,0,0.6942,0.2649
114,1,0.2735,0.1497
115,1,0.2373,0.1533
116,2,0.1068,0.906
117,2,0.1252,0.9205
118,0,0.5588,0.1427
119,2,0.6805,0.9935
120,0,0.5903,0.5445
121,2,0.4755,0.7255
122,1,0.1715,0.7361
123,1,0.2542,0.6908
124,1,0.1958,0.0406
125,0,0.6634,0.0285
126,0,0.6334,0.4348
127,0,0.9654,0.6925
128,1,0.2209,0.1845
129,1,0.1533,0.719
130,2,0.234,0.8956
131,2,0.1431,0.8689
132,2,0.1401,0.9641
133,0,0.961,0.2569
134,1,0.1772,0.6598
135,1,0.1009,0.8238
136,1,0.1576,0.3288
137,2,0.4722,0.7643
138,1,0.0404,0.4478
139,0,0.6107,0.2673
140,1,0.0729,0.5157
141,1,0.0734,0.1798
142,0,0.5456,0.0167
143,1,0.1906,0.452
144,2,0.4582,0.9382
145,0,0.5954,0.4752
146,0,0.6438,0.5802
147,1,0.2042,0.67
148,1,0.1485,0.6373
149,2,0.5688,0.9349
150,0,0.9113,0.7911
151,2,0.7727,0.8146
152,1,0.0447,0.2949
153,1,0.2928,0.4977
154,1,0.2586,0.2861
155,1,0.4994,0.0025
156,2,0.2286,0.8105
157,0,0.7156,0.161
158,0,0.952,0.7932
159,1,0.0073,0.2597
160,1,0.3909,0.4396
161,1,0.1281,0.4475
162,0,0.9476,0.8019
163,1,0.288,0.2694
164,0,0.5709,0.4948
165,2,0.6697,0.935
166,2,0.5377,0.7952
167,0,0.8643,0.1828
168,1,0.2098,0.6096
169,2,0.6466,0.8476
170,1,0.3099,0.0448
171,0,0.7646,0.4919
172,2,0.5158,0.5645
173,2,0.6625,0.7102
174,2,0.4184,0.9684
175,2,0.3104,0.9651
176,1,0.1414,0.6758
177,0,0.5624,0.0655
178,1,0.1682,0.0499
179,0,0.7152,0.6454
180,1,0.1743,0.7466
181,1,0.1879,0.2531
182,0,0.9113,0.3214
183,2,0.4971,0.9106
184,2,0.4396,0.5805
185,0,0.9461,0.2512
186,1,0.2562,0.4083
187,0,0.7035,0.5967
188,1,0.1154,0.0579
189,1,0.1901,0.5813
190,0,0.5887,0.1369
191,0,0.9479,0.1834
192,2,0.6604,0.7746
193,1,0.4123,0.2744
194,0,0.9065,0.704
195,1,0.2596,0.042
196,1,0.0538,0.243
197,2,0.2508,0.9008
198,0,0.9651,0.4096
199,2,0.7458,0.7459
200,2,0.3487,0.6556
201,1,0.307,0.6617
202,2,0.7375,0.9518
203,1,0.0664,0.4438
204,0,0.5368,0.2114
205,0,0.7771,0.5436
206,1,0.185,0.2838
207,0,0.721,0.2954
208,0,0.7264,0.0045
209,0,0.8951,0.5349
210,1,0.3416,0.0345
211,2,0.1481,0.9689
212,0,0.6326,0.4752
